"駐車時間","一般","定期","合計","比率"
"00：00～00：30","11","0","11","16.2％"
"00：30～01：00","19","0","19","27.9％"
"01：00～01：30","6","0","6","8.8％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","2","0","2","2.9％"
"02：30～03：00","3","0","3","4.4％"
"03：00～03：30","1","0","1","1.5％"
"03：30～04：00","3","0","3","4.4％"
"04：00～04：30","1","0","1","1.5％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","2","0","2","2.9％"
"07：00～08：00","2","0","2","2.9％"
"08：00～12：00","6","0","6","8.8％"
"12：00～16：00","3","0","3","4.4％"
"16：00～20：00","2","0","2","2.9％"
"20：00～24：00","2","0","2","2.9％"
"24：00～36：00","1","0","1","1.5％"
"36：00～48：00","2","0","2","2.9％"
"48：00～","2","0","2","2.9％"
"合計","68","0","68","100％"
