"駐車時間","一般","定期","合計","比率"
"00：00～00：30","1","0","1","2.7％"
"00：30～01：00","7","0","7","18.9％"
"01：00～01：30","1","0","1","2.7％"
"01：30～02：00","3","0","3","8.1％"
"02：00～02：30","1","0","1","2.7％"
"02：30～03：00","1","0","1","2.7％"
"03：00～03：30","1","0","1","2.7％"
"03：30～04：00","1","0","1","2.7％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","1","0","1","2.7％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","1","0","1","2.7％"
"06：00～07：00","1","0","1","2.7％"
"07：00～08：00","2","0","2","5.4％"
"08：00～12：00","6","0","6","16.2％"
"12：00～16：00","5","0","5","13.5％"
"16：00～20：00","1","0","1","2.7％"
"20：00～24：00","0","0","0","0.0％"
"24：00～36：00","3","0","3","8.1％"
"36：00～48：00","1","0","1","2.7％"
"48：00～","0","0","0","0.0％"
"合計","37","0","37","100％"
