"駐車時間","一般","定期","合計","比率"
"00：00～00：30","0","0","0","0.0％"
"00：30～01：00","6","0","6","14.0％"
"01：00～01：30","0","0","0","0.0％"
"01：30～02：00","1","0","1","2.3％"
"02：00～02：30","1","0","1","2.3％"
"02：30～03：00","3","0","3","7.0％"
"03：00～03：30","2","0","2","4.7％"
"03：30～04：00","1","0","1","2.3％"
"04：00～04：30","1","0","1","2.3％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","1","0","1","2.3％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","1","0","1","2.3％"
"07：00～08：00","4","0","4","9.3％"
"08：00～12：00","13","0","13","30.2％"
"12：00～16：00","6","0","6","14.0％"
"16：00～20：00","0","0","0","0.0％"
"20：00～24：00","1","0","1","2.3％"
"24：00～36：00","1","0","1","2.3％"
"36：00～48：00","1","0","1","2.3％"
"48：00～","0","0","0","0.0％"
"合計","43","0","43","100％"
