"駐車時間","一般","定期","合計","比率"
"00：00～00：30","4","0","4","8.5％"
"00：30～01：00","2","0","2","4.3％"
"01：00～01：30","5","0","5","10.6％"
"01：30～02：00","3","0","3","6.4％"
"02：00～02：30","1","0","1","2.1％"
"02：30～03：00","1","0","1","2.1％"
"03：00～03：30","1","0","1","2.1％"
"03：30～04：00","2","0","2","4.3％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","3","0","3","6.4％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","2","0","2","4.3％"
"07：00～08：00","0","0","0","0.0％"
"08：00～12：00","8","0","8","17.0％"
"12：00～16：00","2","0","2","4.3％"
"16：00～20：00","4","0","4","8.5％"
"20：00～24：00","4","0","4","8.5％"
"24：00～36：00","1","0","1","2.1％"
"36：00～48：00","3","0","3","6.4％"
"48：00～","1","0","1","2.1％"
"合計","47","0","47","100％"
