0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年12月17日(火),2024年12月17日(火),2024年12月17日(火),,,,,,,,
,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,印字時刻 2025/11/21 20:33,印字時刻 2025/11/21 20:33,印字時刻 2025/11/21 20:33
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,2,2,34,1,2,76,3,4,110,0
,01-02,0,0,34,0,1,75,0,1,109,0
,02-03,2,5,31,0,1,74,2,6,105,0
,03-04,0,0,31,0,0,74,0,0,105,0
,04-05,0,2,29,3,0,77,3,2,106,0
,05-06,4,0,33,17,0,94,21,0,127,0
,06-07,11,0,43,50,2,141,61,2,184,0
,07-08,47,8,82,64,9,196,111,17,278,0
,08-09,19,9,94,62,12,251,81,21,345,0
,09-10,29,6,115,12,13,246,41,19,361,1
,10-11,46,15,145,7,2,250,53,17,395,1
,11-12,25,30,142,11,5,257,36,35,399,2
,12-13,33,26,148,5,3,259,38,29,407,3
,13-14,21,30,139,10,4,265,31,34,404,1
,14-15,24,36,129,4,4,265,28,40,394,7
,15-16,20,35,114,5,9,261,25,44,375,4
,16-17,22,35,102,4,19,246,26,54,348,4
,17-18,21,25,95,4,30,221,25,55,316,2
,18-19,18,24,90,17,47,192,35,71,282,1
,19-20,9,25,77,3,45,150,12,70,227,2
,20-21,0,17,57,2,40,110,2,57,167,0
,21-22,1,13,45,3,25,88,4,38,133,0
,22-23,0,5,40,1,13,76,1,18,116,0
,23-24,4,7,37,1,5,72,5,12,109,0
,合　計,358,355,-,286,291,-,644,646,-,28
,,,,,,,,,,,
,総駐車時間,1477:49,1477:49,1477:49,3816:12,3816:12,3816:12,5294:01,5294:01,5294:01,
,平均駐車時間,4:05,4:05,4:05,12:56,12:56,12:56,8:03,8:03,8:03,
,回転率,0.58,0.58,0.58,0,0,0,1.06,1.06,1.06,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
