0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年12月18日(水),2024年12月18日(水),2024年12月18日(水),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2025/11/21 20:34,印字時刻 2025/11/21 20:34,印字時刻 2025/11/21 20:34
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,4,3,134,3,10,698,7,13,832,0
,01-02,1,4,131,4,0,702,5,4,833,0
,02-03,2,5,128,2,2,702,4,7,830,0
,03-04,0,4,124,1,2,701,1,6,825,0
,04-05,2,0,126,15,2,714,17,2,840,0
,05-06,4,1,129,41,1,753,45,2,882,0
,06-07,19,3,145,136,16,873,155,19,1018,0
,07-08,89,36,198,281,64,1080,370,100,1278,0
,08-09,118,40,272,668,95,1652,786,135,1924,2
,09-10,289,39,518,168,142,1692,457,181,2210,2
,10-11,381,177,728,69,78,1682,450,255,2410,16
,11-12,344,317,753,42,68,1658,386,385,2411,52
,12-13,288,363,685,71,90,1636,359,453,2321,69
,13-14,314,323,670,57,75,1616,371,398,2286,64
,14-15,333,348,658,69,76,1612,402,424,2270,75
,15-16,323,308,675,78,71,1621,401,379,2296,57
,16-17,280,337,612,84,114,1588,364,451,2200,77
,17-18,312,329,603,94,315,1366,406,644,1969,57
,18-19,325,345,581,93,318,1141,418,663,1722,51
,19-20,149,266,467,63,243,967,212,509,1434,49
,20-21,19,163,321,21,151,835,40,314,1156,0
,21-22,16,106,232,13,85,763,29,191,995,0
,22-23,12,76,164,10,48,722,22,124,886,0
,23-24,9,16,157,9,34,697,18,50,854,0
,合　計,3633,3609,-,2092,2100,-,5725,5709,-,571
,,,,,,,,,,,
,総駐車時間,6804:57,6804:57,6804:57,28439:32,28439:32,28439:32,35244:29,35244:29,35244:29,
,平均駐車時間,1:53,1:53,1:53,13:39,13:39,13:39,6:10,6:10,6:10,
,回転率,0.95,0.95,0.95,3.42,3.42,3.42,1.29,1.29,1.29,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
