0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年04月07日(月),2025年04月07日(月),2025年04月07日(月),,,,,,,,
,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,印字時刻 2025/11/20 16:25,印字時刻 2025/11/20 16:25,印字時刻 2025/11/20 16:25
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,1,17,1,1,133,1,2,150,0
,01-02,0,0,17,0,0,133,0,0,150,0
,02-03,0,0,17,0,0,133,0,0,150,0
,03-04,0,0,17,0,1,132,0,1,149,0
,04-05,0,0,17,0,0,132,0,0,149,0
,05-06,0,0,17,3,2,135,3,2,152,0
,06-07,0,0,17,11,6,138,11,6,155,0
,07-08,0,0,17,49,26,159,49,26,176,0
,08-09,0,0,17,150,20,286,150,20,303,0
,09-10,1,0,18,33,11,313,34,11,331,0
,10-11,4,1,21,7,11,309,11,12,330,0
,11-12,0,3,18,7,6,310,7,9,328,0
,12-13,3,1,20,13,19,305,16,20,325,0
,13-14,17,4,33,5,11,298,22,15,331,0
,14-15,2,13,23,9,12,295,11,25,318,0
,15-16,2,4,20,4,6,293,6,10,313,0
,16-17,3,3,20,8,16,285,11,19,305,0
,17-18,0,0,20,14,62,237,14,62,257,0
,18-19,1,0,21,18,72,183,19,72,204,0
,19-20,2,1,22,17,36,165,19,37,187,0
,20-21,9,11,20,6,19,151,15,30,171,0
,21-22,3,3,20,5,16,140,8,19,160,0
,22-23,0,2,18,1,7,134,1,9,152,0
,23-24,1,1,18,2,2,134,3,3,152,0
,合　計,48,48,-,363,362,-,411,410,-,0
,,,,,,,,,,,
,総駐車時間,53:46,53:46,53:46,5146:04,5146:04,5146:04,5199:50,5199:50,5199:50,
,平均駐車時間,1:06,1:06,1:06,13:59,13:59,13:59,12:28,12:28,12:28,
,回転率,0.09,0.09,0.09,0,0,0,0.78,0.78,0.78,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
