0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年10月01日(日),2023年10月01日(日),2023年10月01日(日),,,,,,,,
,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,印字時刻 2026/03/28 18:52,印字時刻 2026/03/28 18:52,印字時刻 2026/03/28 18:52
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,18,1,2,208,1,2,226,0
,01-02,0,0,18,0,0,208,0,0,226,0
,02-03,0,0,18,0,0,208,0,0,226,0
,03-04,0,0,18,0,0,208,0,0,226,0
,04-05,0,0,18,0,0,208,0,0,226,0
,05-06,0,1,17,1,1,208,1,2,225,0
,06-07,0,0,17,0,0,208,0,0,225,0
,07-08,0,0,17,0,0,208,0,0,225,0
,08-09,9,1,23,22,6,222,31,7,245,0
,09-10,7,2,30,10,4,230,17,6,260,0
,10-11,4,1,33,4,3,231,8,4,264,0
,11-12,8,4,37,1,2,230,9,6,267,0
,12-13,6,7,36,7,3,234,13,10,270,0
,13-14,12,10,38,2,0,236,14,10,274,0
,14-15,5,4,39,3,7,232,8,11,271,0
,15-16,5,10,34,6,6,232,11,16,266,0
,16-17,8,11,30,6,2,236,14,13,266,0
,17-18,2,4,29,1,4,233,3,8,262,0
,18-19,3,3,29,4,11,226,7,14,255,0
,19-20,2,4,28,3,14,215,5,18,243,0
,20-21,1,10,18,1,11,205,2,21,223,0
,21-22,1,2,17,0,2,203,1,4,220,0
,22-23,0,1,16,0,0,203,0,1,219,0
,23-24,0,1,15,0,0,203,0,1,218,0
,合　計,73,76,-,72,78,-,145,154,-,0
,,,,,,,,,,,
,総駐車時間,223:49,223:49,223:49,2354:43,2354:43,2354:43,2578:32,2578:32,2578:32,
,平均駐車時間,2:57,2:57,2:57,26:27,26:27,26:27,15:38,15:38,15:38,
,回転率,0.59,0.59,0.59,0.16,0.16,0.16,0.24,0.24,0.24,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
