日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2026-03-01,全駐車場,14-15,601,546,1493,30,27,873,631,573,2366,143,日,土日祝
2026-03-02,全駐車場,10-11,328,163,581,71,80,1928,399,243,2509,15,月,平日
2026-03-03,全駐車場,10-11,369,172,671,76,97,1888,445,269,2559,18,火,平日
2026-03-04,全駐車場,11-12,363,307,744,64,63,1833,427,370,2577,58,水,平日
2026-03-06,全駐車場,11-12,301,297,640,77,86,1773,378,383,2413,48,金,平日
2026-03-07,全駐車場,14-15,562,483,1238,33,36,919,595,519,2157,118,土,土日祝
2026-03-08,全駐車場,11-12,541,520,1138,21,20,862,562,540,2000,70,日,土日祝
2026-03-09,全駐車場,10-11,293,147,605,82,75,1909,375,222,2514,21,月,平日
2026-03-10,全駐車場,11-12,285,269,764,61,63,1792,346,332,2556,51,火,平日
2026-03-11,全駐車場,11-12,369,362,990,56,69,1756,425,431,2746,45,水,平日
2026-03-12,全駐車場,11-12,318,311,680,57,65,1785,375,376,2465,61,木,平日
2026-03-14,全駐車場,11-12,616,515,1490,37,29,946,653,544,2436,89,土,土日祝
2026-03-15,全駐車場,13-14,612,516,1453,17,20,882,629,536,2335,138,日,土日祝
2026-03-16,全駐車場,10-11,292,149,598,68,84,1859,360,233,2457,21,月,平日
2026-03-17,全駐車場,11-12,293,297,742,46,50,1708,339,347,2450,36,火,平日
2026-03-19,全駐車場,11-12,314,286,741,60,83,1736,374,369,2477,47,木,平日
2026-03-20,全駐車場,13-14,478,399,1083,17,24,832,495,423,1915,79,金,土日祝
2026-03-22,全駐車場,14-15,559,500,1222,33,31,808,592,531,2030,112,日,土日祝
2026-03-23,全駐車場,10-11,313,120,683,69,81,1803,382,201,2486,21,月,平日
2026-03-25,全駐車場,11-12,418,331,839,64,69,1750,482,400,2589,48,水,平日
2026-03-26,全駐車場,15-16,431,415,875,100,80,1775,531,495,2650,99,木,平日
2026-03-27,全駐車場,11-12,335,327,765,72,77,1709,407,404,2474,56,金,平日
2026-03-28,全駐車場,14-15,569,539,1259,26,34,845,595,573,2104,122,土,土日祝
2026-03-29,全駐車場,10-11,586,213,1235,32,20,805,618,233,2040,39,日,土日祝
2026-03-30,全駐車場,11-12,363,279,760,52,73,1762,415,352,2522,56,月,平日
2026-03-31,全駐車場,11-12,344,289,755,49,57,1808,393,346,2563,48,火,平日
