0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2026年03月26日(木),2026年03月26日(木),2026年03月26日(木),,,,,,,,
,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,印字時刻 2026/04/01 14:28,印字時刻 2026/04/01 14:28,印字時刻 2026/04/01 14:28
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,18,1,1,125,1,1,143,0
,01-02,0,0,18,0,0,125,0,0,143,0
,02-03,0,0,18,0,1,124,0,1,142,0
,03-04,0,0,18,0,1,123,0,1,141,0
,04-05,0,0,18,0,2,121,0,2,139,0
,05-06,0,0,18,7,2,125,7,2,143,0
,06-07,0,0,18,10,8,128,10,8,146,0
,07-08,1,1,18,37,21,144,38,22,162,0
,08-09,3,2,19,117,23,238,120,25,257,0
,09-10,3,1,21,38,12,264,41,13,285,0
,10-11,3,3,21,8,7,265,11,10,286,0
,11-12,3,3,21,10,2,273,13,5,294,0
,12-13,9,5,25,12,16,268,21,21,293,0
,13-14,13,3,36,10,15,264,23,18,300,0
,14-15,4,5,34,14,10,268,18,15,302,0
,15-16,3,14,23,9,11,266,12,25,289,0
,16-17,5,5,23,8,13,261,13,18,284,0
,17-18,1,1,23,15,60,218,16,61,241,0
,18-19,12,3,33,24,59,184,36,62,217,0
,19-20,10,7,34,13,39,156,23,46,190,0
,20-21,1,7,29,10,26,139,11,33,168,0
,21-22,1,10,20,5,7,137,6,17,157,0
,22-23,2,3,19,4,10,131,6,13,150,0
,23-24,1,2,18,1,5,127,2,7,145,0
,合　計,75,75,-,353,351,-,428,426,-,0
,,,,,,,,,,,
,総駐車時間,112:07,112:07,112:07,4712:40,4712:40,4712:40,4824:47,4824:47,4824:47,
,平均駐車時間,1:29,1:29,1:29,13:47,13:47,13:47,11:33,11:33,11:33,
,回転率,0.14,0.14,0.14,0,0,0,0.78,0.78,0.78,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
