0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年05月24日(金),2024年05月24日(金),2024年05月24日(金),,,,,,,,
,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,印字時刻 2025/11/21 16:52,印字時刻 2025/11/21 16:52,印字時刻 2025/11/21 16:52
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,3,0,2,17,0,2,20,0
,01-02,0,0,3,0,0,17,0,0,20,0
,02-03,0,0,3,1,0,18,1,0,21,0
,03-04,0,0,3,1,0,19,1,0,22,0
,04-05,0,0,3,5,0,24,5,0,27,0
,05-06,0,0,3,2,0,26,2,0,29,0
,06-07,0,0,3,3,1,28,3,1,31,0
,07-08,4,1,5,22,4,46,26,5,51,0
,08-09,6,3,9,74,2,118,80,5,127,0
,09-10,7,0,15,12,4,126,19,4,141,0
,10-11,10,6,21,1,4,123,11,10,144,0
,11-12,4,8,16,4,4,123,8,12,139,0
,12-13,7,5,18,8,24,106,15,29,124,0
,13-14,7,8,17,5,11,101,12,19,118,0
,14-15,4,6,15,3,5,98,7,11,113,0
,15-16,3,6,12,1,9,91,4,15,103,0
,16-17,5,5,14,5,8,88,10,13,102,0
,17-18,9,6,15,3,28,63,12,34,78,0
,18-19,4,6,13,5,15,52,9,21,65,0
,19-20,4,9,8,2,20,37,6,29,45,0
,20-21,0,3,5,3,5,33,3,8,38,0
,21-22,0,1,4,4,8,29,4,9,33,0
,22-23,0,0,4,1,5,25,1,5,29,0
,23-24,0,1,4,0,3,22,0,4,26,0
,合　計,74,74,-,165,162,-,239,236,-,0
,,,,,,,,,,,
,総駐車時間,132:24,132:24,132:24,1344:02,1344:02,1344:02,1476:26,1476:26,1476:26,
,平均駐車時間,1:53,1:53,1:53,8:24,8:24,8:24,6:25,6:25,6:25,
,回転率,1.11,1.11,1.11,1.24,1.24,1.24,1.2,1.2,1.2,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
