0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年05月25日(土),2024年05月25日(土),2024年05月25日(土),,,,,,,,
,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,印字時刻 2025/11/21 16:52,印字時刻 2025/11/21 16:52,印字時刻 2025/11/21 16:52
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,1,43,0,0,126,0,1,169,0
,01-02,0,1,42,0,0,126,0,1,168,0
,02-03,0,0,42,0,0,126,0,0,168,0
,03-04,0,0,42,0,0,126,0,0,168,0
,04-05,0,1,41,0,0,126,0,1,167,0
,05-06,0,0,41,1,1,126,1,1,167,0
,06-07,3,0,44,5,1,130,8,1,174,0
,07-08,8,0,52,9,5,134,17,5,186,0
,08-09,32,1,82,16,4,146,48,5,228,0
,09-10,81,5,159,13,4,155,94,9,314,0
,10-11,106,33,231,5,6,154,111,39,385,2
,11-12,123,79,274,5,2,157,128,81,431,13
,12-13,74,91,260,4,4,157,78,95,417,26
,13-14,144,89,317,6,3,160,150,92,477,30
,14-15,103,87,330,5,6,160,108,93,490,21
,15-16,48,96,283,2,9,152,50,105,435,16
,16-17,41,171,152,5,4,153,46,175,305,55
,17-18,30,57,125,5,5,153,35,62,278,11
,18-19,32,42,115,6,13,146,38,55,261,9
,19-20,1,32,84,4,14,136,5,46,220,4
,20-21,2,8,78,0,9,128,2,17,206,0
,21-22,1,17,62,4,3,128,5,20,190,0
,22-23,0,5,57,0,2,126,0,7,183,0
,23-24,0,3,54,2,1,127,2,4,181,0
,合　計,829,819,-,97,96,-,926,915,-,187
,,,,,,,,,,,
,総駐車時間,2005:21,2005:21,2005:21,1010:31,1010:31,1010:31,3015:52,3015:52,3015:52,
,平均駐車時間,2:26,2:26,2:26,10:45,10:45,10:45,3:17,3:17,3:17,
,回転率,3.75,3.75,3.75,0.25,0.25,0.25,1.53,1.53,1.53,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
