0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年05月07日(火),2024年05月07日(火),2024年05月07日(火),,,,,,,,
,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,印字時刻 2025/11/21 16:33,印字時刻 2025/11/21 16:33,印字時刻 2025/11/21 16:33
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,2,0,1,19,0,1,21,0
,01-02,0,0,2,0,0,19,0,0,21,0
,02-03,0,0,2,1,0,20,1,0,22,0
,03-04,0,0,2,1,0,21,1,0,23,0
,04-05,0,0,2,6,0,27,6,0,29,0
,05-06,0,0,2,2,0,29,2,0,31,0
,06-07,4,0,6,4,2,30,8,2,36,0
,07-08,8,1,13,26,6,49,34,7,62,0
,08-09,7,4,16,76,9,117,83,13,133,0
,09-10,2,1,16,11,2,127,13,3,143,0
,10-11,4,4,17,0,2,125,4,6,142,0
,11-12,3,4,17,6,1,130,9,5,147,0
,12-13,5,0,21,7,4,133,12,4,154,0
,13-14,5,4,21,5,10,129,10,14,150,0
,14-15,2,4,19,4,8,124,6,12,143,0
,15-16,2,4,18,1,9,116,3,13,134,0
,16-17,5,5,18,1,28,89,6,33,107,0
,17-18,8,8,18,2,30,61,10,38,79,0
,18-19,2,7,13,9,22,48,11,29,61,0
,19-20,1,9,5,1,19,30,2,28,35,0
,20-21,0,2,3,5,4,31,5,6,34,0
,21-22,0,0,3,3,6,28,3,6,31,0
,22-23,0,0,3,0,7,21,0,7,24,0
,23-24,0,2,1,0,1,20,0,3,21,0
,合　計,58,59,-,171,171,-,229,230,-,0
,,,,,,,,,,,
,総駐車時間,227:21,227:21,227:21,1516:35,1516:35,1516:35,1743:56,1743:56,1743:56,
,平均駐車時間,3:59,3:59,3:59,8:55,8:55,8:55,7:41,7:41,7:41,
,回転率,0.9,0.9,0.9,1.32,1.32,1.32,1.18,1.18,1.18,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
