0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年05月07日(火),2024年05月07日(火),2024年05月07日(火),,,,,,,,
,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,印字時刻 2025/11/21 16:32,印字時刻 2025/11/21 16:32,印字時刻 2025/11/21 16:32
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,31,0,0,99,0,0,130,0
,01-02,0,0,31,0,0,99,0,0,130,0
,02-03,0,0,31,0,0,99,0,0,130,0
,03-04,0,0,31,0,0,99,0,0,130,0
,04-05,0,1,30,1,0,100,1,1,130,0
,05-06,2,2,30,11,2,108,13,4,138,0
,06-07,16,2,44,27,1,135,43,3,179,0
,07-08,16,9,50,36,10,161,52,19,211,0
,08-09,36,9,78,100,22,237,136,31,315,0
,09-10,146,13,205,42,12,268,188,25,473,1
,10-11,251,102,357,13,5,277,264,107,634,22
,11-12,259,216,403,6,8,276,265,224,679,46
,12-13,272,267,406,9,13,272,281,280,678,53
,13-14,216,240,381,9,7,273,225,247,654,62
,14-15,213,244,354,11,13,272,224,257,626,51
,15-16,196,240,306,8,9,270,204,249,576,59
,16-17,201,218,293,13,8,275,214,226,568,66
,17-18,200,215,279,12,54,235,212,269,514,50
,18-19,195,228,247,13,61,187,208,289,434,39
,19-20,73,192,128,5,34,157,78,226,285,28
,20-21,20,71,75,3,32,129,23,103,204,0
,21-22,7,23,58,2,17,113,9,40,171,0
,22-23,6,20,45,2,5,109,8,25,154,0
,23-24,4,14,34,2,6,105,6,20,139,0
,合　計,2329,2326,-,325,319,-,2654,2645,-,477
,,,,,,,,,,,
,総駐車時間,3120:57,3120:57,3120:57,7996:54,7996:54,7996:54,11117:51,11117:51,11117:51,
,平均駐車時間,1:21,1:21,1:21,25:09,25:09,25:09,4:13,4:13,4:13,
,回転率,2.53,2.53,2.53,0,0,0,2.88,2.88,2.88,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
