日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2025-01-01,全駐車場,11-12,59,50,190,15,14,704,74,64,894,9,水,土日祝
2025-01-02,全駐車場,14-15,258,233,494,15,17,732,273,250,1226,65,木,平日
2025-01-03,全駐車場,15-16,285,278,497,18,10,768,303,288,1265,90,金,平日
2025-01-04,全駐車場,14-15,549,530,988,25,29,805,574,559,1793,99,土,土日祝
2025-01-05,全駐車場,14-15,517,500,1039,21,16,799,538,516,1838,102,日,土日祝
2025-01-06,全駐車場,11-12,310,252,619,41,69,1847,351,321,2466,38,月,平日
2025-01-07,全駐車場,14-15,311,293,636,66,59,1761,377,352,2397,43,火,平日
2025-01-08,全駐車場,11-12,308,244,635,49,68,1715,357,312,2350,27,水,平日
2025-01-09,全駐車場,11-12,302,243,710,54,75,1722,356,318,2432,41,木,平日
2025-01-10,全駐車場,11-12,321,295,692,60,70,1672,381,365,2364,31,金,平日
2025-01-11,全駐車場,14-15,607,485,1189,33,41,844,640,526,2033,104,土,土日祝
2025-01-12,全駐車場,14-15,579,549,1302,17,20,751,596,569,2053,115,日,土日祝
2025-01-13,全駐車場,14-15,505,500,956,19,24,800,524,524,1756,118,月,土日祝
2025-01-14,全駐車場,13-14,324,299,614,56,75,1775,380,374,2389,58,火,平日
2025-01-15,全駐車場,10-11,363,175,702,67,78,1747,430,253,2449,19,水,平日
2025-01-16,全駐車場,11-12,324,302,692,50,58,1719,374,360,2411,49,木,平日
2025-01-17,全駐車場,11-12,292,263,668,70,54,1684,362,317,2352,37,金,平日
2025-01-18,全駐車場,13-14,651,555,1380,33,44,849,684,599,2229,148,土,土日祝
2025-01-19,全駐車場,14-15,760,676,1661,23,17,781,783,693,2442,163,日,土日祝
2025-01-20,全駐車場,11-12,304,287,747,55,64,1752,359,351,2499,37,月,平日
2025-01-21,全駐車場,10-11,344,156,708,60,94,1692,404,250,2400,19,火,平日
2025-01-22,全駐車場,11-12,333,281,697,47,57,1695,380,338,2392,45,水,平日
2025-01-23,全駐車場,11-12,374,331,800,73,72,1758,447,403,2558,58,木,平日
2025-01-24,全駐車場,10-11,441,171,721,65,84,1700,506,255,2421,16,金,平日
2025-01-25,全駐車場,14-15,600,527,1172,39,33,845,639,560,2017,113,土,土日祝
2025-01-26,全駐車場,13-14,764,483,1346,22,20,781,786,503,2127,110,日,土日祝
2025-01-27,全駐車場,10-11,343,162,633,62,79,1796,405,241,2429,25,月,平日
2025-01-28,全駐車場,11-12,301,275,624,64,63,1740,365,338,2364,37,火,平日
2025-01-29,全駐車場,11-12,348,314,689,48,67,1718,396,381,2407,50,水,平日
2025-01-30,全駐車場,11-12,342,315,726,65,57,1726,407,372,2452,42,木,平日
2025-01-31,全駐車場,13-14,360,279,684,68,79,1666,428,358,2350,67,金,平日
