0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年01月03日(金),2025年01月03日(金),2025年01月03日(金),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2025/11/21 20:51,印字時刻 2025/11/21 20:51,印字時刻 2025/11/21 20:51
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,2,4,118,2,3,662,4,7,780,0
,01-02,0,1,117,0,0,662,0,1,779,0
,02-03,0,0,117,2,1,663,2,1,780,0
,03-04,0,1,116,2,1,664,2,2,780,0
,04-05,1,0,117,11,2,673,12,2,790,0
,05-06,2,0,119,5,8,670,7,8,789,0
,06-07,7,1,125,12,1,681,19,2,806,0
,07-08,20,3,141,40,2,716,60,5,857,0
,08-09,34,10,166,42,15,746,76,25,912,1
,09-10,127,17,274,31,22,755,158,39,1029,1
,10-11,211,96,389,23,16,762,234,112,1151,28
,11-12,249,176,461,12,17,758,261,193,1219,38
,12-13,231,234,462,19,6,770,250,240,1232,64
,13-14,244,232,475,10,15,765,254,247,1240,60
,14-15,282,263,493,14,18,761,296,281,1254,81
,15-16,285,278,497,18,10,768,303,288,1265,90
,16-17,204,305,402,12,18,763,216,323,1165,71
,17-18,179,225,349,17,46,735,196,271,1084,67
,18-19,136,200,284,18,32,719,154,232,1003,49
,19-20,63,142,210,11,22,710,74,164,920,30
,20-21,14,51,173,7,27,690,21,78,863,0
,21-22,10,25,159,5,14,680,15,39,839,0
,22-23,5,45,117,2,12,670,7,57,787,0
,23-24,6,10,113,1,5,666,7,15,779,0
,合　計,2312,2319,-,316,313,-,2628,2632,-,580
,,,,,,,,,,,
,総駐車時間,4640:11,4640:11,4640:11,8289:49,8289:49,8289:49,12930:00,12930:00,12930:00,
,平均駐車時間,1:59,1:59,1:59,25:16,25:16,25:16,4:52,4:52,4:52,
,回転率,0.61,0.61,0.61,0.54,0.54,0.54,0.6,0.6,0.6,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
