0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年08月13日(水),2025年08月13日(水),2025年08月13日(水),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2025/11/19 12:39,印字時刻 2025/11/19 12:39,印字時刻 2025/11/19 12:39
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,4,7,130,6,15,652,10,22,782,0
,01-02,4,3,131,2,0,654,6,3,785,0
,02-03,3,4,130,4,0,658,7,4,788,0
,03-04,0,2,128,1,2,657,1,4,785,0
,04-05,2,0,130,15,0,672,17,0,802,0
,05-06,4,4,130,21,5,688,25,9,818,0
,06-07,7,2,135,88,7,768,95,9,903,0
,07-08,29,9,154,225,36,953,254,45,1107,0
,08-09,87,29,213,355,49,1261,442,78,1474,5
,09-10,277,39,442,89,65,1288,366,104,1730,2
,10-11,531,195,786,45,51,1281,576,246,2067,25
,11-12,388,366,802,45,38,1289,433,404,2091,57
,12-13,364,404,767,53,46,1297,417,450,2064,70
,13-14,411,361,811,35,55,1276,446,416,2087,64
,14-15,384,400,812,32,41,1267,416,441,2079,84
,15-16,326,410,716,39,43,1263,365,453,1979,91
,16-17,275,400,596,43,71,1233,318,471,1829,110
,17-18,331,382,544,42,244,1034,373,626,1578,74
,18-19,227,311,460,40,206,867,267,517,1327,57
,19-20,145,275,334,34,140,761,179,415,1095,60
,20-21,13,109,236,16,80,697,29,189,933,0
,21-22,18,52,200,5,37,665,23,89,865,0
,22-23,16,47,168,11,19,657,27,66,825,0
,23-24,8,23,155,5,17,645,13,40,800,0
,合　計,3854,3834,-,1251,1267,-,5105,5101,-,699
,,,,,,,,,,,
,総駐車時間,6472:04,6472:04,6472:04,18643:16,18643:16,18643:16,25115:20,25115:20,25115:20,
,平均駐車時間,1:41,1:41,1:41,15:05,15:05,15:05,4:57,4:57,4:57,
,回転率,0.96,0.96,0.96,2.03,2.03,2.03,1.11,1.11,1.11,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
