0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年08月03日(日),2025年08月03日(日),2025年08月03日(日),,,,,,,,
,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,印字時刻 2025/11/19 12:29,印字時刻 2025/11/19 12:29,印字時刻 2025/11/19 12:29
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,1,5,37,0,0,53,1,5,90,0
,01-02,1,1,37,0,3,50,1,4,87,0
,02-03,0,0,37,0,0,50,0,0,87,0
,03-04,0,1,36,0,0,50,0,1,86,0
,04-05,1,0,36,2,2,50,3,2,86,0
,05-06,0,0,37,0,1,49,0,1,86,0
,06-07,2,0,39,4,1,53,6,1,92,0
,07-08,7,1,45,4,2,54,11,3,99,0
,08-09,9,2,52,8,2,59,17,4,111,0
,09-10,32,5,79,15,7,68,47,12,147,0
,10-11,82,17,142,4,1,71,86,18,213,5
,11-12,89,45,188,6,4,73,95,49,261,8
,12-13,76,67,199,2,5,71,78,72,270,14
,13-14,90,72,213,3,1,72,93,73,285,18
,14-15,79,71,222,5,5,72,84,76,294,13
,15-16,71,86,209,5,5,72,76,91,281,17
,16-17,39,83,163,3,3,72,42,86,235,20
,17-18,19,72,111,4,6,70,23,78,181,10
,18-19,9,39,83,5,8,67,14,47,150,16
,19-20,5,26,61,1,6,62,6,32,123,5
,20-21,1,16,45,2,5,59,3,21,104,0
,21-22,2,7,40,0,6,53,2,13,93,0
,22-23,1,3,38,3,5,51,4,8,89,0
,23-24,0,1,37,2,4,49,2,5,86,0
,合　計,616,620,-,78,82,-,694,702,-,126
,,,,,,,,,,,
,総駐車時間,1348:42,1348:42,1348:42,2786:23,2786:23,2786:23,4135:05,4135:05,4135:05,
,平均駐車時間,2:10,2:10,2:10,27:19,27:19,27:19,5:43,5:43,5:43,
,回転率,1,1,1,0,0,0,1.16,1.16,1.16,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
