0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年08月29日(金),2025年08月29日(金),2025年08月29日(金),,,,,,,,
,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,印字時刻 2025/11/19 12:56,印字時刻 2025/11/19 12:56,印字時刻 2025/11/19 12:56
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,1,1,15,1,0,232,2,1,247,0
,01-02,0,0,15,2,1,233,2,1,248,0
,02-03,0,0,15,0,0,233,0,0,248,0
,03-04,0,0,15,0,0,233,0,0,248,0
,04-05,0,0,15,0,0,233,0,0,248,0
,05-06,0,0,15,2,0,235,2,0,250,0
,06-07,1,1,15,10,4,240,11,5,255,0
,07-08,5,6,14,37,8,269,42,14,283,0
,08-09,25,8,30,171,25,415,196,33,445,0
,09-10,34,13,53,66,41,441,100,54,494,0
,10-11,21,28,46,14,38,417,35,66,463,0
,11-12,16,20,43,12,25,403,28,45,446,0
,12-13,18,26,33,18,43,379,36,69,412,0
,13-14,18,15,35,26,22,382,44,37,417,0
,14-15,24,23,36,34,16,400,58,39,436,0
,15-16,28,26,41,25,25,400,53,51,441,0
,16-17,7,20,26,39,19,419,46,39,445,0
,17-18,12,13,25,35,58,399,47,71,424,0
,18-19,8,6,27,30,94,336,38,100,363,0
,19-20,3,4,26,17,41,310,20,45,336,0
,20-21,7,10,25,9,31,287,16,41,312,0
,21-22,2,1,24,1,32,257,3,33,281,0
,22-23,1,2,23,2,9,251,3,11,274,0
,23-24,1,5,19,0,4,246,1,9,265,0
,合　計,232,228,-,551,536,-,783,764,-,0
,,,,,,,,,,,
,総駐車時間,302:58,302:58,302:58,7614:19,7614:19,7614:19,7917:17,7917:17,7917:17,
,平均駐車時間,1:21,1:21,1:21,14:09,14:09,14:09,10:23,10:23,10:23,
,回転率,0.32,0.32,0.32,0,0,0,1.1,1.1,1.1,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
