0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年08月17日(日),2025年08月17日(日),2025年08月17日(日),,,,,,,,
,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,印字時刻 2025/11/19 12:43,印字時刻 2025/11/19 12:43,印字時刻 2025/11/19 12:43
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,4,28,0,0,102,0,4,130,0
,01-02,2,4,26,0,0,102,2,4,128,0
,02-03,0,1,25,2,1,103,2,2,128,0
,03-04,0,0,25,0,1,102,0,1,127,0
,04-05,3,1,27,3,1,104,6,2,131,0
,05-06,3,1,29,1,0,105,4,1,134,0
,06-07,2,1,24,1,0,106,3,1,130,0
,07-08,20,3,41,4,2,108,24,5,149,0
,08-09,33,11,62,6,0,114,39,11,176,1
,09-10,213,14,256,3,3,114,216,17,370,1
,10-11,418,119,555,3,2,115,421,121,670,20
,11-12,361,332,592,1,1,115,362,333,707,69
,12-13,352,324,617,1,0,116,353,324,733,84
,13-14,375,326,668,0,4,112,375,330,780,97
,14-15,378,383,657,2,2,112,380,385,769,107
,15-16,374,380,659,2,1,113,376,381,772,116
,16-17,296,418,539,3,2,114,299,420,653,113
,17-18,246,386,396,3,7,110,249,393,506,123
,18-19,211,330,284,3,5,108,214,335,392,88
,19-20,99,231,148,1,2,107,100,233,255,41
,20-21,10,90,66,3,8,102,13,98,168,0
,21-22,4,25,42,2,1,102,6,26,144,0
,22-23,2,27,17,0,2,101,2,29,118,0
,23-24,1,6,13,2,2,101,3,8,114,0
,合　計,3403,3417,-,46,47,-,3449,3464,-,860
,,,,,,,,,,,
,総駐車時間,5769:35,5769:35,5769:35,1560:51,1560:51,1560:51,7330:26,7330:26,7330:26,
,平均駐車時間,1:41,1:41,1:41,27:52,27:52,27:52,2:07,2:07,2:07,
,回転率,3.72,3.72,3.72,0,0,0,3.78,3.78,3.78,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
