0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年07月18日(火),2023年07月18日(火),2023年07月18日(火),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2026/03/28 17:27,印字時刻 2026/03/28 17:27,印字時刻 2026/03/28 17:27
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,4,8,41,1,4,525,5,12,566,0
,01-02,1,3,39,2,4,525,3,7,564,0
,02-03,0,0,35,3,4,505,3,4,540,0
,03-04,0,0,35,0,1,504,0,1,539,0
,04-05,3,4,35,15,0,512,18,4,547,0
,05-06,4,2,37,40,0,537,44,2,574,0
,06-07,22,2,50,161,20,650,183,22,700,0
,07-08,73,34,79,293,68,833,366,102,912,0
,08-09,118,38,131,603,83,1350,721,121,1481,2
,09-10,273,57,246,185,86,1425,458,143,1671,1
,10-11,334,151,309,41,64,1402,375,215,1711,23
,11-12,302,300,603,51,64,1606,353,364,2209,38
,12-13,342,315,625,74,86,1593,416,401,2218,34
,13-14,265,300,597,51,69,1574,316,369,2171,57
,14-15,256,314,529,58,63,1571,314,377,2100,53
,15-16,249,307,474,50,65,1554,299,372,2028,55
,16-17,231,265,440,91,103,1545,322,368,1985,55
,17-18,244,330,359,73,305,1317,317,635,1676,48
,18-19,243,262,335,75,299,1095,318,561,1430,44
,19-20,120,241,221,41,252,885,161,493,1106,26
,20-21,22,101,136,22,158,744,44,259,880,0
,21-22,11,49,104,20,82,681,31,131,785,0
,22-23,6,31,71,7,46,641,13,77,712,0
,23-24,6,12,65,6,25,622,12,37,687,0
,合　計,3129,3126,-,1963,1951,-,5092,5077,-,436
,,,,,,,,,,,
,総駐車時間,5450:00,5450:00,5450:00,39074:14,39074:14,39074:14,44524:14,44524:14,44524:14,
,平均駐車時間,1:44,1:44,1:44,19:59,19:59,19:59,8:45,8:45,8:45,
,回転率,1.1,1.1,1.1,1.07,1.07,1.07,1.09,1.09,1.09,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
