0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年07月27日(木),2023年07月27日(木),2023年07月27日(木),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2026/03/28 17:38,印字時刻 2026/03/28 17:38,印字時刻 2026/03/28 17:38
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,4,7,79,3,6,605,7,13,684,0
,01-02,1,2,78,6,4,607,7,6,685,0
,02-03,0,0,78,1,1,607,1,1,685,0
,03-04,1,0,79,3,1,609,4,1,688,0
,04-05,1,0,80,13,0,622,14,0,702,0
,05-06,5,1,84,38,3,656,43,4,740,0
,06-07,15,1,97,137,14,777,152,15,874,0
,07-08,35,17,116,268,48,996,303,65,1112,0
,08-09,129,26,215,544,72,1469,673,98,1684,3
,09-10,278,58,429,191,91,1572,469,149,2001,1
,10-11,351,186,605,59,64,1567,410,250,2172,17
,11-12,290,292,600,48,65,1548,338,357,2148,50
,12-13,328,312,619,56,87,1519,384,399,2138,50
,13-14,309,314,610,67,77,1508,376,391,2118,64
,14-15,278,315,578,67,75,1503,345,390,2081,55
,15-16,272,296,554,67,83,1486,339,379,2040,55
,16-17,289,340,497,78,87,1474,367,427,1971,71
,17-18,289,354,445,86,279,1287,375,633,1732,59
,18-19,277,320,400,80,285,1083,357,605,1483,54
,19-20,139,281,263,37,236,880,176,517,1143,36
,20-21,17,111,161,25,165,742,42,276,903,0
,21-22,9,44,125,19,86,672,28,130,797,0
,22-23,5,30,99,3,51,624,8,81,723,0
,23-24,4,17,85,7,24,607,11,41,692,0
,合　計,3326,3324,-,1903,1904,-,5229,5228,-,515
,,,,,,,,,,,
,総駐車時間,5882:54,5882:54,5882:54,22792:10,22792:10,22792:10,28675:04,28675:04,28675:04,
,平均駐車時間,1:46,1:46,1:46,11:57,11:57,11:57,5:29,5:29,5:29,
,回転率,1.17,1.17,1.17,1.04,1.04,1.04,1.12,1.12,1.12,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
