0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年07月28日(金),2023年07月28日(金),2023年07月28日(金),,,,,,,,
,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,印字時刻 2026/03/28 17:39,印字時刻 2026/03/28 17:39,印字時刻 2026/03/28 17:39
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,1,1,22,1,0,141,2,1,163,0
,01-02,0,1,21,1,1,141,1,2,162,0
,02-03,0,0,21,0,0,141,0,0,162,0
,03-04,0,0,21,0,0,141,0,0,162,0
,04-05,0,0,21,0,0,141,0,0,162,0
,05-06,0,0,21,3,2,143,3,2,164,0
,06-07,3,0,24,13,1,154,16,1,178,0
,07-08,3,1,26,71,9,214,74,10,240,0
,08-09,31,0,57,128,23,322,159,23,379,0
,09-10,79,25,112,15,17,319,94,42,431,0
,10-11,62,48,125,21,27,312,83,75,437,2
,11-12,32,49,108,18,15,314,50,64,422,6
,12-13,45,55,99,22,18,320,67,73,419,6
,13-14,51,29,119,13,17,316,64,46,435,3
,14-15,60,48,132,20,17,319,80,65,451,4
,15-16,30,51,113,17,17,318,47,68,431,10
,16-17,27,59,80,16,23,312,43,82,392,4
,17-18,20,52,47,13,86,239,33,138,286,12
,18-19,16,21,42,11,48,202,27,69,244,0
,19-20,1,8,35,9,40,171,10,48,206,1
,20-21,0,6,29,5,27,150,5,33,179,0
,21-22,1,7,23,4,5,149,5,12,172,0
,22-23,0,0,23,2,5,145,2,5,168,0
,23-24,1,2,22,3,1,147,4,3,169,0
,合　計,463,463,-,406,399,-,869,862,-,48
,,,,,,,,,,,
,総駐車時間,785:32,785:32,785:32,5689:01,5689:01,5689:01,6474:33,6474:33,6474:33,
,平均駐車時間,1:42,1:42,1:42,14:35,14:35,14:35,7:37,7:37,7:37,
,回転率,2.09,2.09,2.09,1.02,1.02,1.02,1.41,1.41,1.41,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
