0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年09月26日(木),2024年09月26日(木),2024年09月26日(木),,,,,,,,
,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,印字時刻 2025/11/21 19:04,印字時刻 2025/11/21 19:04,印字時刻 2025/11/21 19:04
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,2,8,38,0,3,81,2,11,119,0
,01-02,1,3,36,0,0,81,1,3,117,0
,02-03,0,0,36,0,0,81,0,0,117,0
,03-04,0,0,36,0,0,81,0,0,117,0
,04-05,0,1,35,2,1,82,2,2,117,0
,05-06,2,1,36,8,0,90,10,1,126,0
,06-07,8,0,44,23,3,110,31,3,154,0
,07-08,18,3,59,40,7,143,58,10,202,0
,08-09,58,9,106,90,20,213,148,29,319,3
,09-10,141,19,231,40,13,240,181,32,471,5
,10-11,231,104,358,6,13,234,237,117,592,19
,11-12,230,192,392,9,8,234,239,200,626,31
,12-13,241,251,388,15,12,237,256,263,625,69
,13-14,213,242,356,9,11,236,222,253,592,67
,14-15,193,206,344,7,12,230,200,218,574,53
,15-16,208,221,332,9,12,226,217,233,558,66
,16-17,214,229,314,17,13,231,231,242,545,52
,17-18,184,226,273,16,45,205,200,271,478,55
,18-19,188,205,254,14,50,166,202,255,420,25
,19-20,104,197,167,7,39,137,111,236,304,34
,20-21,13,69,108,6,26,115,19,95,223,0
,21-22,11,38,82,2,16,100,13,54,182,0
,22-23,7,36,52,3,11,92,10,47,144,0
,23-24,4,7,48,0,7,85,4,14,133,0
,合　計,2271,2267,-,323,322,-,2594,2589,-,479
,,,,,,,,,,,
,総駐車時間,3371:05,3371:05,3371:05,4668:30,4668:30,4668:30,8039:35,8039:35,8039:35,
,平均駐車時間,1:29,1:29,1:29,14:35,14:35,14:35,3:07,3:07,3:07,
,回転率,2.46,2.46,2.46,0,0,0,2.81,2.81,2.81,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
