0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年09月14日(土),2024年09月14日(土),2024年09月14日(土),,,,,,,,
,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,印字時刻 2025/11/21 18:51,印字時刻 2025/11/21 18:51,印字時刻 2025/11/21 18:51
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,43,0,1,134,0,1,177,0
,01-02,0,0,43,0,0,134,0,0,177,0
,02-03,0,0,43,0,0,134,0,0,177,0
,03-04,0,0,43,0,0,134,0,0,177,0
,04-05,1,1,43,2,0,136,3,1,179,0
,05-06,1,0,44,0,1,135,1,1,179,0
,06-07,2,0,46,3,1,137,5,1,183,0
,07-08,10,1,55,10,6,140,20,7,195,0
,08-09,17,3,69,15,3,153,32,6,222,0
,09-10,84,8,144,15,3,165,99,11,309,1
,10-11,89,47,186,6,6,165,95,53,351,1
,11-12,71,82,177,4,3,166,75,85,343,8
,12-13,61,67,172,3,3,166,64,70,338,14
,13-14,76,53,192,7,8,165,83,61,357,11
,14-15,87,71,213,5,5,165,92,76,378,11
,15-16,64,76,199,4,2,167,68,78,366,5
,16-17,52,76,176,3,4,166,55,80,342,15
,17-18,44,79,138,10,9,167,54,88,305,11
,18-19,28,48,119,7,18,156,35,66,275,5
,19-20,7,32,94,1,12,145,8,44,239,7
,20-21,2,22,75,2,6,141,4,28,216,0
,21-22,1,14,60,0,5,137,1,19,197,0
,22-23,0,8,52,1,3,134,1,11,186,0
,23-24,1,2,51,3,3,134,4,5,185,0
,合　計,698,690,-,101,102,-,799,792,-,89
,,,,,,,,,,,
,総駐車時間,1726:11,1726:11,1726:11,1666:12,1666:12,1666:12,3392:23,3392:23,3392:23,
,平均駐車時間,2:30,2:30,2:30,16:50,16:50,16:50,4:18,4:18,4:18,
,回転率,3.14,3.14,3.14,0.26,0.26,0.26,1.31,1.31,1.31,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
