0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年09月05日(木),2024年09月05日(木),2024年09月05日(木),,,,,,,,
,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,印字時刻 2025/11/21 18:42,印字時刻 2025/11/21 18:42,印字時刻 2025/11/21 18:42
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,10,0,1,89,0,1,99,0
,01-02,0,0,10,0,2,87,0,2,97,0
,02-03,1,0,11,0,0,87,1,0,98,0
,03-04,0,0,11,0,1,86,0,1,97,0
,04-05,0,1,10,0,0,86,0,1,96,0
,05-06,0,0,10,3,0,89,3,0,99,0
,06-07,0,0,10,8,2,95,8,2,105,0
,07-08,1,2,9,45,18,121,46,20,130,0
,08-09,4,1,12,133,11,244,137,12,256,0
,09-10,4,1,15,42,12,274,46,13,289,0
,10-11,0,0,15,6,4,276,6,4,291,0
,11-12,3,0,18,3,2,277,6,2,295,0
,12-13,3,10,11,8,23,262,11,33,273,0
,13-14,3,0,14,4,9,258,7,9,272,0
,14-15,2,3,13,7,10,254,9,13,267,0
,15-16,4,4,14,10,12,251,14,16,265,0
,16-17,1,1,13,10,17,245,11,18,258,0
,17-18,3,6,10,10,77,177,13,83,187,0
,18-19,3,0,13,15,58,135,18,58,148,0
,19-20,7,6,14,7,25,117,14,31,131,0
,20-21,2,4,12,3,13,107,5,17,119,0
,21-22,1,3,10,4,8,103,5,11,113,0
,22-23,0,1,9,4,6,101,4,7,110,0
,23-24,1,1,9,1,7,95,2,8,104,0
,合　計,43,44,-,323,318,-,366,362,-,0
,,,,,,,,,,,
,総駐車時間,95:38,95:38,95:38,4057:44,4057:44,4057:44,4153:22,4153:22,4153:22,
,平均駐車時間,2:08,2:08,2:08,12:29,12:29,12:29,11:14,11:14,11:14,
,回転率,0.44,0.44,0.44,0.73,0.73,0.73,0.68,0.68,0.68,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
