日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2024-09-01,全駐車場,13-14,640,476,1225,19,23,766,659,499,1991,89,日,土日祝
2024-09-02,全駐車場,10-11,332,167,658,60,79,1746,392,246,2404,19,月,平日
2024-09-03,全駐車場,10-11,397,211,767,62,86,1691,459,297,2458,19,火,平日
2024-09-04,全駐車場,10-11,356,153,727,71,67,1661,427,220,2388,20,水,平日
2024-09-05,全駐車場,10-11,353,154,685,62,79,1703,415,233,2388,24,木,平日
2024-09-06,全駐車場,11-12,324,294,749,56,48,1637,380,342,2386,39,金,平日
2024-09-07,全駐車場,14-15,601,547,1192,34,37,818,635,584,2010,128,土,土日祝
2024-09-08,全駐車場,13-14,582,519,1196,14,28,742,596,547,1938,106,日,土日祝
2024-09-09,全駐車場,10-11,345,159,661,61,78,1686,406,237,2347,23,月,平日
2024-09-10,全駐車場,10-11,362,151,712,65,85,1678,427,236,2390,6,火,平日
2024-09-11,全駐車場,10-11,412,171,744,69,75,1652,481,246,2396,19,水,平日
2024-09-12,全駐車場,11-12,291,280,698,49,60,1670,340,340,2368,47,木,平日
2024-09-13,全駐車場,10-11,382,158,701,73,98,1658,455,256,2359,17,金,平日
2024-09-14,全駐車場,14-15,661,597,1335,36,35,807,697,632,2142,144,土,土日祝
2024-09-15,全駐車場,13-14,635,510,1433,13,31,700,648,541,2133,116,日,土日祝
2024-09-16,全駐車場,13-14,511,447,1055,24,22,771,535,469,1826,105,月,土日祝
2024-09-17,全駐車場,11-12,314,277,723,45,56,1746,359,333,2469,31,火,平日
2024-09-18,全駐車場,10-11,404,165,805,67,76,1683,471,241,2488,18,水,平日
2024-09-19,全駐車場,11-12,318,278,825,57,63,1665,375,341,2490,48,木,平日
2024-09-20,全駐車場,10-11,386,165,788,68,91,1661,454,256,2449,25,金,平日
2024-09-21,全駐車場,14-15,604,538,1453,23,36,804,627,574,2257,134,土,土日祝
2024-09-22,全駐車場,13-14,737,625,1659,10,21,725,747,646,2384,135,日,土日祝
2024-09-23,全駐車場,14-15,469,441,995,18,25,745,487,466,1740,121,月,土日祝
2024-09-24,全駐車場,10-11,377,164,651,55,70,1797,432,234,2448,21,火,平日
2024-09-25,全駐車場,11-12,365,292,719,52,64,1689,417,356,2408,52,水,平日
2024-09-26,全駐車場,10-11,371,189,802,61,90,1738,432,279,2540,21,木,平日
2024-09-27,全駐車場,13-14,386,366,980,83,90,1672,469,456,2652,73,金,平日
2024-09-28,全駐車場,14-15,563,521,1168,21,29,831,584,550,1999,116,土,土日祝
2024-09-29,全駐車場,10-11,707,296,1232,18,16,750,725,312,1982,34,日,土日祝
2024-09-30,全駐車場,11-12,331,298,660,57,79,1742,388,377,2402,46,月,平日
