0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年07月01日(月),2024年07月01日(月),2024年07月01日(月),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2025/11/21 17:31,印字時刻 2025/11/21 17:31,印字時刻 2025/11/21 17:31
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,2,5,109,3,6,630,5,11,739,0
,01-02,0,0,109,4,4,630,4,4,739,0
,02-03,0,0,109,2,0,632,2,0,741,0
,03-04,1,0,110,0,0,632,1,0,742,0
,04-05,0,0,110,18,1,649,18,1,759,0
,05-06,2,1,110,59,3,704,61,4,814,0
,06-07,20,1,130,160,12,850,180,13,980,0
,07-08,105,56,178,288,72,1066,393,128,1244,0
,08-09,105,36,244,690,81,1672,795,117,1916,1
,09-10,245,48,437,205,87,1796,450,135,2233,2
,10-11,338,157,629,57,76,1775,395,233,2404,14
,11-12,298,312,618,59,65,1771,357,377,2389,48
,12-13,276,314,576,76,94,1755,352,408,2331,49
,13-14,257,259,570,67,85,1737,324,344,2307,47
,14-15,255,279,545,64,80,1718,319,359,2263,57
,15-16,214,281,486,63,72,1709,277,353,2195,64
,16-17,213,269,427,70,114,1666,283,383,2093,42
,17-18,228,234,417,73,339,1403,301,573,1820,52
,18-19,235,257,399,84,348,1144,319,605,1543,45
,19-20,113,250,268,51,271,922,164,521,1190,43
,20-21,16,98,178,19,168,768,35,266,946,0
,21-22,7,45,141,12,88,691,19,133,832,0
,22-23,7,19,128,5,50,646,12,69,774,0
,23-24,2,11,119,5,20,631,7,31,750,0
,合　計,2939,2932,-,2134,2136,-,5073,5068,-,464
,,,,,,,,,,,
,総駐車時間,4921:11,4921:11,4921:11,34897:11,34897:11,34897:11,39818:22,39818:22,39818:22,
,平均駐車時間,1:42,1:42,1:42,16:45,16:45,16:45,7:59,7:59,7:59,
,回転率,1.05,1.05,1.05,1.14,1.14,1.14,1.08,1.08,1.08,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
