0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年05月16日(金),2025年05月16日(金),2025年05月16日(金),,,,,,,,
,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,印字時刻 2025/11/20 17:06,印字時刻 2025/11/20 17:06,印字時刻 2025/11/20 17:06
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,7,1,4,158,1,4,165,0
,01-02,1,1,7,0,0,158,1,1,165,0
,02-03,0,0,7,0,0,158,0,0,165,0
,03-04,0,0,7,1,3,156,1,3,163,0
,04-05,0,0,7,0,1,155,0,1,162,0
,05-06,0,0,7,3,1,157,3,1,164,0
,06-07,2,0,9,8,3,162,10,3,171,0
,07-08,1,0,9,39,31,172,40,31,181,0
,08-09,21,2,28,137,22,285,158,24,313,0
,09-10,3,3,29,33,13,304,36,16,333,0
,10-11,4,1,32,10,10,306,14,11,338,0
,11-12,2,3,31,11,12,304,13,15,335,0
,12-13,2,1,32,7,13,298,9,14,330,0
,13-14,5,2,35,11,16,293,16,18,328,0
,14-15,2,0,37,14,10,297,16,10,334,0
,15-16,0,1,36,13,9,301,13,10,337,0
,16-17,4,9,32,17,17,302,21,26,334,0
,17-18,2,11,22,16,55,262,18,66,284,0
,18-19,7,14,14,28,65,226,35,79,240,0
,19-20,8,7,16,7,37,195,15,44,211,0
,20-21,5,4,17,6,25,176,11,29,193,0
,21-22,1,3,15,4,6,174,5,9,189,0
,22-23,4,3,15,6,11,169,10,14,184,0
,23-24,1,2,15,2,8,164,3,10,179,0
,合　計,75,67,-,374,372,-,449,439,-,0
,,,,,,,,,,,
,総駐車時間,333:11,333:11,333:11,4941:37,4941:37,4941:37,5274:48,5274:48,5274:48,
,平均駐車時間,4:10,4:10,4:10,14:10,14:10,14:10,12:18,12:18,12:18,
,回転率,0.15,0.15,0.15,0,0,0,0.8,0.8,0.8,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
