0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年06月14日(土),2025年06月14日(土),2025年06月14日(土),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2025/11/20 17:53,印字時刻 2025/11/20 17:53,印字時刻 2025/11/20 17:53
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,6,17,79,15,26,762,21,43,841,0
,01-02,3,2,80,4,5,760,7,7,840,0
,02-03,1,1,80,5,3,761,6,4,841,0
,03-04,0,1,79,4,4,762,4,5,841,0
,04-05,1,0,80,7,2,767,8,2,847,0
,05-06,3,1,82,8,3,771,11,4,853,0
,06-07,18,3,97,30,12,788,48,15,885,0
,07-08,65,10,151,55,21,822,120,31,973,0
,08-09,274,29,387,119,45,897,393,74,1284,3
,09-10,779,70,1086,68,48,917,847,118,2003,4
,10-11,744,277,1571,37,30,926,781,307,2497,31
,11-12,607,545,1630,32,45,912,639,590,2542,72
,12-13,589,758,1463,42,29,923,631,787,2386,119
,13-14,735,595,1613,32,36,922,767,631,2535,145
,14-15,625,574,1658,22,40,904,647,614,2562,132
,15-16,565,726,1504,35,30,906,600,756,2410,144
,16-17,444,946,999,36,31,912,480,977,1911,271
,17-18,427,651,769,38,58,893,465,709,1662,147
,18-19,285,466,585,32,83,842,317,549,1427,102
,19-20,151,359,385,22,56,808,173,415,1193,68
,20-21,33,157,263,15,40,784,48,197,1047,0
,21-22,21,78,201,7,30,760,28,108,961,0
,22-23,8,35,174,7,16,751,15,51,925,0
,23-24,1,18,157,13,25,739,14,43,896,0
,合　計,6385,6319,-,685,718,-,7070,7037,-,1238
,,,,,,,,,,,
,総駐車時間,12990:37,12990:37,12990:37,10710:27,10710:27,10710:27,23701:04,23701:04,23701:04,
,平均駐車時間,2:04,2:04,2:04,16:49,16:49,16:49,3:25,3:25,3:25,
,回転率,1.59,1.59,1.59,1.04,1.04,1.04,1.52,1.52,1.52,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
