0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年06月12日(木),2025年06月12日(木),2025年06月12日(木),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2025/11/20 17:51,印字時刻 2025/11/20 17:51,印字時刻 2025/11/20 17:51
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,3,7,89,2,11,756,5,18,845,0
,01-02,0,0,89,2,4,756,2,4,845,0
,02-03,4,7,86,4,2,757,8,9,843,0
,03-04,0,0,86,4,2,758,4,2,844,0
,04-05,1,0,87,18,7,770,19,7,857,0
,05-06,1,1,87,47,1,813,48,2,900,0
,06-07,11,3,95,136,11,936,147,14,1031,0
,07-08,63,38,121,342,76,1199,405,114,1320,0
,08-09,126,42,197,677,110,1776,803,152,1973,6
,09-10,249,50,399,194,100,1868,443,150,2267,6
,10-11,285,163,529,63,78,1854,348,241,2383,23
,11-12,278,237,569,37,80,1812,315,317,2381,51
,12-13,298,310,556,82,112,1780,380,422,2336,80
,13-14,295,278,566,74,76,1779,369,354,2345,55
,14-15,332,288,626,60,60,1778,392,348,2404,63
,15-16,273,297,586,59,81,1756,332,378,2342,76
,16-17,239,266,569,95,104,1749,334,370,2318,65
,17-18,248,384,422,98,336,1513,346,720,1935,117
,18-19,286,286,433,121,362,1277,407,648,1710,52
,19-20,149,243,337,60,270,1061,209,513,1398,35
,20-21,21,134,225,32,172,923,53,306,1148,0
,21-22,14,107,129,20,112,826,34,219,955,0
,22-23,8,30,107,7,59,774,15,89,881,0
,23-24,2,9,100,11,20,765,13,29,865,0
,合　計,3186,3180,-,2245,2246,-,5431,5426,-,629
,,,,,,,,,,,
,総駐車時間,5674:35,5674:35,5674:35,33322:47,33322:47,33322:47,38997:22,38997:22,38997:22,
,平均駐車時間,1:46,1:46,1:46,14:28,14:28,14:28,7:05,7:05,7:05,
,回転率,0.8,0.8,0.8,3.78,3.78,3.78,1.2,1.2,1.2,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
