0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年07月03日(木),2025年07月03日(木),2025年07月03日(木),,,,,,,,
,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,印字時刻 2025/11/20 18:12,印字時刻 2025/11/20 18:12,印字時刻 2025/11/20 18:12
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,7,0,0,132,0,0,139,0
,01-02,0,0,7,0,0,132,0,0,139,0
,02-03,0,0,7,0,0,132,0,0,139,0
,03-04,0,1,6,1,1,132,1,2,138,0
,04-05,0,0,6,0,1,131,0,1,137,0
,05-06,0,0,6,6,0,137,6,0,143,0
,06-07,2,0,8,20,0,155,22,0,163,0
,07-08,10,1,16,75,5,224,85,6,240,0
,08-09,23,0,40,147,14,358,170,14,398,0
,09-10,45,10,75,30,21,369,75,31,444,0
,10-11,42,29,87,13,22,360,55,51,447,4
,11-12,25,43,72,4,17,347,29,60,419,4
,12-13,47,33,82,15,10,352,62,43,434,3
,13-14,33,37,79,10,14,348,43,51,427,7
,14-15,27,42,68,8,10,346,35,52,414,5
,15-16,30,28,66,20,17,349,50,45,415,2
,16-17,32,32,68,19,28,341,51,60,409,5
,17-18,16,30,55,19,100,259,35,130,314,1
,18-19,14,31,39,9,68,201,23,99,240,1
,19-20,2,14,24,4,47,156,6,61,180,3
,20-21,1,7,18,5,21,140,6,28,158,0
,21-22,0,4,14,6,14,133,6,18,147,0
,22-23,0,0,14,1,4,130,1,4,144,0
,23-24,0,2,12,4,1,133,4,3,145,0
,合　計,349,344,-,416,415,-,765,759,-,35
,,,,,,,,,,,
,総駐車時間,781:40,781:40,781:40,6998:29,6998:29,6998:29,7780:09,7780:09,7780:09,
,平均駐車時間,2:16,2:16,2:16,16:23,16:23,16:23,10:05,10:05,10:05,
,回転率,1.57,1.57,1.57,1.12,1.12,1.12,1.28,1.28,1.28,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
