日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2025-02-01,全駐車場,14-15,646,527,1226,40,31,866,686,558,2092,107,土,土日祝
2025-02-02,全駐車場,13-14,833,614,1591,17,18,803,850,632,2394,153,日,土日祝
2025-02-03,全駐車場,11-12,292,245,636,49,66,1783,341,311,2419,40,月,平日
2025-02-04,全駐車場,10-11,302,150,601,64,74,1754,366,224,2355,14,火,平日
2025-02-05,全駐車場,11-12,305,267,683,49,60,1685,354,327,2368,48,水,平日
2025-02-06,全駐車場,13-14,389,285,957,85,91,1710,474,376,2667,55,木,平日
2025-02-07,全駐車場,13-14,427,283,968,75,63,1669,502,346,2637,52,金,平日
2025-02-08,全駐車場,14-15,577,559,1199,36,44,873,613,603,2072,128,土,土日祝
2025-02-09,全駐車場,13-14,639,532,1615,21,29,764,660,561,2379,108,日,土日祝
2025-02-10,全駐車場,11-12,323,297,695,55,73,1644,378,370,2339,46,月,平日
2025-02-11,全駐車場,13-14,516,430,1060,25,25,831,541,455,1891,114,火,土日祝
2025-02-12,全駐車場,10-11,355,169,736,51,78,1724,406,247,2460,16,水,平日
2025-02-13,全駐車場,10-11,387,132,918,58,76,1739,445,208,2657,14,木,平日
2025-02-14,全駐車場,10-11,376,187,727,64,90,1682,440,277,2409,23,金,平日
2025-02-15,全駐車場,14-15,682,560,1819,33,30,851,715,590,2670,124,土,土日祝
2025-02-16,全駐車場,13-14,783,662,1658,25,28,825,808,690,2483,144,日,土日祝
2025-02-17,全駐車場,10-11,347,145,666,56,83,1745,403,228,2411,12,月,平日
2025-02-18,全駐車場,11-12,364,332,748,48,73,1743,412,405,2491,53,火,平日
2025-02-19,全駐車場,10-11,400,229,790,68,90,1691,468,319,2481,17,水,平日
2025-02-20,全駐車場,10-11,488,173,927,68,92,1706,556,265,2633,21,木,平日
2025-02-21,全駐車場,10-11,348,155,705,76,75,1659,424,230,2364,15,金,平日
2025-02-22,全駐車場,13-14,639,566,1488,31,38,845,670,604,2333,120,土,土日祝
2025-02-23,全駐車場,13-14,635,513,1495,13,32,764,648,545,2259,102,日,土日祝
2025-02-24,全駐車場,13-14,550,461,1078,20,18,805,570,479,1883,109,月,土日祝
2025-02-25,全駐車場,13-14,385,329,898,59,107,1680,444,436,2578,56,火,平日
2025-02-26,全駐車場,12-13,416,344,821,71,103,1655,487,447,2476,75,水,平日
2025-02-27,全駐車場,10-11,423,164,816,71,90,1677,494,254,2493,17,木,平日
2025-02-28,全駐車場,11-12,331,328,642,63,64,1699,394,392,2341,49,金,平日
