0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年02月14日(金),2025年02月14日(金),2025年02月14日(金),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2025/11/21 21:35,印字時刻 2025/11/21 21:35,印字時刻 2025/11/21 21:35
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,1,3,132,5,12,641,6,15,773,0
,01-02,1,0,133,0,4,637,1,4,770,0
,02-03,5,7,131,3,1,639,8,8,770,0
,03-04,0,0,131,1,1,639,1,1,770,0
,04-05,1,2,130,14,1,651,15,3,781,0
,05-06,3,1,132,40,3,688,43,4,820,0
,06-07,13,0,145,138,10,816,151,10,961,0
,07-08,75,40,178,316,59,1064,391,99,1242,0
,08-09,171,37,311,633,98,1601,804,135,1912,2
,09-10,297,69,534,219,118,1711,516,187,2245,4
,10-11,376,187,727,64,90,1682,440,277,2409,23
,11-12,316,355,695,63,68,1680,379,423,2375,37
,12-13,352,374,674,91,98,1669,443,472,2343,84
,13-14,315,329,655,81,85,1667,396,414,2322,56
,14-15,322,339,640,72,65,1671,394,404,2311,69
,15-16,332,312,663,81,78,1678,413,390,2341,67
,16-17,340,398,601,95,109,1661,435,507,2262,74
,17-18,322,359,572,103,310,1456,425,669,2028,58
,18-19,311,351,523,111,325,1245,422,676,1768,51
,19-20,181,332,375,46,266,1028,227,598,1403,39
,20-21,30,151,256,21,161,886,51,312,1142,0
,21-22,23,72,205,18,115,787,41,187,992,0
,22-23,12,45,170,15,69,732,27,114,902,0
,23-24,8,18,160,12,38,706,20,56,866,0
,合　計,3807,3781,-,2242,2184,-,6049,5965,-,564
,,,,,,,,,,,
,総駐車時間,6243:46,6243:46,6243:46,26296:33,26296:33,26296:33,32540:19,32540:19,32540:19,
,平均駐車時間,1:40,1:40,1:40,12:46,12:46,12:46,5:36,5:36,5:36,
,回転率,0.98,0.98,0.98,3.38,3.38,3.38,1.31,1.31,1.31,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
