0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年08月04日(日),2024年08月04日(日),2024年08月04日(日),,,,,,,,
,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,印字時刻 2025/11/21 18:08,印字時刻 2025/11/21 18:08,印字時刻 2025/11/21 18:08
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,9,0,0,17,0,0,26,0
,01-02,0,0,9,0,0,17,0,0,26,0
,02-03,0,0,9,0,0,17,0,0,26,0
,03-04,0,0,9,0,0,17,0,0,26,0
,04-05,0,0,9,1,0,18,1,0,27,0
,05-06,0,0,9,0,0,18,0,0,27,0
,06-07,1,0,10,4,0,22,5,0,32,0
,07-08,9,1,17,2,1,23,11,2,40,0
,08-09,13,5,26,2,0,25,15,5,51,0
,09-10,76,8,91,2,2,25,78,10,116,0
,10-11,129,50,171,1,1,26,130,51,197,0
,11-12,75,59,191,0,2,23,75,61,214,0
,12-13,47,80,154,1,2,22,48,82,176,0
,13-14,90,61,183,0,0,22,90,61,205,0
,14-15,70,85,172,1,4,19,71,89,191,0
,15-16,32,86,118,4,2,21,36,88,139,0
,16-17,14,80,52,1,2,20,15,82,72,0
,17-18,12,43,18,3,2,21,15,45,39,0
,18-19,10,9,21,1,2,20,11,11,41,0
,19-20,3,11,12,1,1,20,4,12,32,0
,20-21,1,1,12,0,1,19,1,2,31,0
,21-22,1,3,10,0,1,18,1,4,28,0
,22-23,0,0,10,0,1,17,0,1,27,0
,23-24,0,0,10,0,0,17,0,0,27,0
,合　計,583,582,-,24,24,-,607,606,-,0
,,,,,,,,,,,
,総駐車時間,1087:56,1087:56,1087:56,840:52,840:52,840:52,1928:48,1928:48,1928:48,
,平均駐車時間,1:53,1:53,1:53,27:07,27:07,27:07,3:09,3:09,3:09,
,回転率,17.06,17.06,17.06,0.14,0.14,0.14,2.43,2.43,2.43,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
