日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2024-08-01,全駐車場,13-14,400,363,871,74,83,1633,474,446,2504,71,木,平日
2024-08-02,全駐車場,11-12,315,321,753,58,59,1620,373,380,2373,34,金,平日
2024-08-03,全駐車場,13-14,610,514,1282,26,24,829,636,538,2111,123,土,土日祝
2024-08-04,全駐車場,14-15,604,580,1272,20,24,765,624,604,2037,102,日,土日祝
2024-08-05,全駐車場,11-12,300,293,682,48,61,1693,348,354,2375,41,月,平日
2024-08-06,全駐車場,10-11,469,208,838,62,91,1659,531,299,2497,12,火,平日
2024-08-07,全駐車場,10-11,423,172,814,66,63,1634,489,235,2448,16,水,平日
2024-08-08,全駐車場,10-11,441,195,828,67,75,1654,508,270,2482,32,木,平日
2024-08-09,全駐車場,11-12,332,326,764,55,63,1545,387,389,2309,38,金,平日
2024-08-10,全駐車場,14-15,574,486,1177,29,39,782,603,525,1959,108,土,土日祝
2024-08-11,全駐車場,12-13,544,493,1219,13,14,735,557,507,1954,110,日,土日祝
2024-08-12,全駐車場,14-15,519,500,1053,21,30,742,540,530,1795,97,月,土日祝
2024-08-13,全駐車場,12-13,399,397,851,37,37,1179,436,434,2030,82,火,平日
2024-08-14,全駐車場,14-15,501,482,935,34,35,1172,535,517,2107,96,水,平日
2024-08-15,全駐車場,13-14,516,481,977,36,43,1230,552,524,2207,103,木,平日
2024-08-16,全駐車場,11-12,355,315,602,33,27,1175,388,342,1777,36,金,平日
2024-08-17,全駐車場,14-15,623,556,1251,33,42,833,656,598,2084,111,土,土日祝
2024-08-18,全駐車場,14-15,580,543,1172,22,26,768,602,569,1940,112,日,土日祝
2024-08-19,全駐車場,11-12,366,348,784,41,66,1635,407,414,2419,46,月,平日
2024-08-20,全駐車場,11-12,390,340,857,54,61,1628,444,401,2485,49,火,平日
2024-08-21,全駐車場,11-12,378,352,905,52,54,1622,430,406,2527,60,水,平日
2024-08-22,全駐車場,11-12,350,308,787,60,72,1637,410,380,2424,48,木,平日
2024-08-23,全駐車場,10-11,440,189,793,73,98,1622,513,287,2415,18,金,平日
2024-08-24,全駐車場,17-18,575,495,2727,19,43,797,594,538,3524,107,土,土日祝
2024-08-25,全駐車場,18-19,662,602,2840,14,46,725,676,648,3565,215,日,土日祝
2024-08-26,全駐車場,11-12,360,317,840,55,63,1667,415,380,2507,43,月,平日
2024-08-27,全駐車場,12-13,370,348,766,93,100,1628,463,448,2394,62,火,平日
2024-08-28,全駐車場,11-12,362,330,773,47,64,1599,409,394,2372,45,水,平日
2024-08-29,全駐車場,11-12,385,344,852,70,64,1651,455,408,2503,42,木,平日
2024-08-30,全駐車場,14-15,385,369,793,73,72,1581,458,441,2374,91,金,平日
2024-08-31,全駐車場,14-15,666,610,1255,30,44,812,696,654,2067,131,土,土日祝
