0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年08月04日(日),2024年08月04日(日),2024年08月04日(日),,,,,,,,
,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,印字時刻 2025/11/21 18:07,印字時刻 2025/11/21 18:07,印字時刻 2025/11/21 18:07
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,2,46,1,1,134,1,3,180,0
,01-02,2,0,48,0,0,134,2,0,182,0
,02-03,0,0,48,0,0,134,0,0,182,0
,03-04,0,0,48,0,0,134,0,0,182,0
,04-05,0,0,48,0,0,134,0,0,182,0
,05-06,1,2,46,1,0,135,2,2,181,0
,06-07,3,0,50,3,1,137,6,1,187,0
,07-08,0,0,50,6,2,141,6,2,191,0
,08-09,2,0,52,16,6,151,18,6,203,0
,09-10,50,9,93,10,4,157,60,13,250,1
,10-11,85,35,143,4,5,155,89,40,298,0
,11-12,51,51,142,3,0,159,54,51,301,4
,12-13,59,57,145,4,4,159,63,61,304,10
,13-14,72,52,165,2,5,156,74,57,321,6
,14-15,65,51,180,3,3,156,68,54,336,10
,15-16,51,76,155,3,7,152,54,83,307,18
,16-17,33,83,104,5,1,156,38,84,260,8
,17-18,17,41,79,6,3,159,23,44,238,5
,18-19,11,24,67,1,15,145,12,39,212,3
,19-20,3,20,50,2,6,141,5,26,191,3
,20-21,1,6,45,0,6,136,1,12,181,0
,21-22,0,10,35,0,3,132,0,13,167,0
,22-23,2,3,34,0,2,130,2,5,164,0
,23-24,0,1,33,2,0,132,2,1,165,0
,合　計,508,523,-,72,74,-,580,597,-,68
,,,,,,,,,,,
,総駐車時間,1344:08,1344:08,1344:08,3332:37,3332:37,3332:37,4676:45,4676:45,4676:45,
,平均駐車時間,2:35,2:35,2:35,34:21,34:21,34:21,7:35,7:35,7:35,
,回転率,2.36,2.36,2.36,0.25,0.25,0.25,1.03,1.03,1.03,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
