0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年01月26日(金),2024年01月26日(金),2024年01月26日(金),,,,,,,,
,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,印字時刻 2026/03/28 21:00,印字時刻 2026/03/28 21:00,印字時刻 2026/03/28 21:00
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,2,3,5,0,2,79,2,5,84,0
,01-02,0,0,5,0,0,79,0,0,84,0
,02-03,0,0,5,1,1,79,1,1,84,0
,03-04,0,0,5,0,0,79,0,0,84,0
,04-05,0,0,5,0,1,78,0,1,83,0
,05-06,0,0,5,1,0,79,1,0,84,0
,06-07,0,0,5,8,4,83,8,4,88,0
,07-08,2,0,7,30,17,94,32,17,101,0
,08-09,3,0,10,83,15,163,86,15,173,0
,09-10,5,1,14,37,9,192,42,10,206,0
,10-11,4,1,17,6,1,197,10,2,214,0
,11-12,1,0,18,8,1,204,9,1,222,0
,12-13,3,3,18,9,16,198,12,19,216,0
,13-14,7,5,20,8,8,197,15,13,217,0
,14-15,1,5,16,6,11,192,7,16,208,0
,15-16,3,4,15,3,7,187,6,11,202,0
,16-17,2,3,14,12,18,182,14,21,196,0
,17-18,3,3,15,7,43,146,10,46,161,0
,18-19,8,7,15,17,41,122,25,48,137,0
,19-20,7,13,9,8,38,94,15,51,103,0
,20-21,4,1,12,9,20,81,13,21,93,0
,21-22,3,4,11,5,14,72,8,18,83,0
,22-23,0,1,10,2,3,71,2,4,81,0
,23-24,0,2,8,1,2,70,1,4,78,0
,合　計,58,56,-,261,272,-,319,328,-,0
,,,,,,,,,,,
,総駐車時間,144:32,144:32,144:32,3227:49,3227:49,3227:49,3372:21,3372:21,3372:21,
,平均駐車時間,2:32,2:32,2:32,12:55,12:55,12:55,10:59,10:59,10:59,
,回転率,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
