0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年11月03日(月),2025年11月03日(月),2025年11月03日(月),,,,,,,,
,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,駐車場＝北1駐車場,印字時刻 2025/11/21 13:31,印字時刻 2025/11/21 13:31,印字時刻 2025/11/21 13:31
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,1,2,68,2,3,67,3,5,135,0
,01-02,0,0,68,1,1,67,1,1,135,0
,02-03,0,0,68,1,0,68,1,0,136,0
,03-04,0,0,68,1,0,69,1,0,137,0
,04-05,0,0,68,0,1,68,0,1,136,0
,05-06,3,1,70,1,0,69,4,1,139,0
,06-07,7,0,77,8,0,77,15,0,154,0
,07-08,25,4,97,9,5,79,34,9,176,0
,08-09,19,3,114,15,2,94,34,5,208,0
,09-10,31,7,139,14,4,104,45,11,243,1
,10-11,65,15,184,8,5,107,73,20,291,1
,11-12,61,42,208,2,4,105,63,46,313,4
,12-13,38,58,188,3,2,106,41,60,294,7
,13-14,42,60,169,1,3,104,43,63,273,6
,14-15,47,43,172,4,4,105,51,47,277,10
,15-16,48,61,161,5,3,106,53,64,267,12
,16-17,29,60,127,7,7,106,36,67,233,11
,17-18,9,41,98,5,11,100,14,52,198,7
,18-19,11,15,94,4,8,96,15,23,190,3
,19-20,4,17,72,3,10,88,7,27,160,3
,20-21,1,6,67,3,6,86,4,12,153,0
,21-22,0,4,64,3,13,76,3,17,140,0
,22-23,2,7,58,1,3,74,3,10,132,0
,23-24,0,1,57,1,2,73,1,3,130,0
,合　計,443,447,-,102,97,-,545,544,-,65
,,,,,,,,,,,
,総駐車時間,1170:14,1170:14,1170:14,2882:03,2882:03,2882:03,4052:17,4052:17,4052:17,
,平均駐車時間,2:34,2:34,2:34,24:01,24:01,24:01,7:03,7:03,7:03,
,回転率,0.73,0.73,0.73,0,0,0,0.92,0.92,0.92,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
