日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2024-04-01,全駐車場,11-12,281,239,636,58,63,1802,339,302,2438,32,月,平日
2024-04-02,全駐車場,14-15,337,287,713,64,52,1678,401,339,2391,52,火,平日
2024-04-03,全駐車場,10-11,382,146,696,67,75,1697,449,221,2393,11,水,平日
2024-04-04,全駐車場,10-11,335,160,783,62,87,1690,397,247,2473,19,木,平日
2024-04-05,全駐車場,10-11,376,158,770,81,80,1652,457,238,2422,24,金,平日
2024-04-06,全駐車場,14-15,616,552,1195,30,38,873,646,590,2068,107,土,土日祝
2024-04-07,全駐車場,14-15,576,512,1097,17,16,808,593,528,1905,83,日,土日祝
2024-04-08,全駐車場,10-11,298,149,555,65,87,1738,363,236,2293,20,月,平日
2024-04-09,全駐車場,10-11,339,152,761,57,80,1635,396,232,2396,21,火,平日
2024-04-10,全駐車場,12-13,334,303,661,76,79,1677,410,382,2338,51,水,平日
2024-04-11,全駐車場,11-12,301,279,679,68,57,1698,369,336,2377,48,木,平日
2024-04-12,全駐車場,11-12,282,261,579,50,63,1627,332,324,2206,34,金,平日
2024-04-13,全駐車場,13-14,580,471,1065,27,30,840,607,501,1905,85,土,土日祝
2024-04-14,全駐車場,13-14,580,536,1215,17,23,764,597,559,1979,121,日,土日祝
2024-04-15,全駐車場,10-11,325,155,523,59,72,1736,384,227,2259,22,月,平日
2024-04-16,全駐車場,13-14,349,268,614,53,66,1674,402,334,2288,62,火,平日
2024-04-17,全駐車場,11-12,299,257,620,50,45,1660,349,302,2280,37,水,平日
2024-04-18,全駐車場,11-12,312,288,617,63,57,1724,375,345,2341,50,木,平日
2024-04-19,全駐車場,10-11,360,145,674,69,84,1659,429,229,2333,24,金,平日
2024-04-20,全駐車場,14-15,598,525,1478,30,27,831,628,552,2309,79,土,土日祝
2024-04-21,全駐車場,13-14,656,566,1352,20,26,759,676,592,2111,126,日,土日祝
2024-04-22,全駐車場,12-13,340,302,780,66,96,1660,406,398,2440,56,月,平日
2024-04-23,全駐車場,12-13,361,341,730,77,87,1649,438,428,2379,47,火,平日
2024-04-24,全駐車場,11-12,448,315,882,48,65,1651,496,380,2533,43,水,平日
2024-04-25,全駐車場,10-11,345,164,647,60,91,1680,405,255,2327,19,木,平日
2024-04-26,全駐車場,14-15,405,286,769,68,95,1628,473,381,2397,59,金,平日
2024-04-27,全駐車場,13-14,595,489,1143,32,32,838,627,521,1981,129,土,土日祝
2024-04-28,全駐車場,14-15,537,499,1180,20,31,736,557,530,1916,122,日,土日祝
2024-04-29,全駐車場,13-14,535,453,1074,16,15,749,551,468,1823,108,月,土日祝
2024-04-30,全駐車場,12-13,376,351,645,60,75,1591,436,426,2236,58,火,平日
2024-05-01,全駐車場,10-11,420,311,662,54,62,1542,474,373,2204,39,水,平日
2024-05-02,全駐車場,11-12,402,327,681,51,52,1510,453,379,2191,57,木,平日
2024-05-03,全駐車場,13-14,536,450,1156,14,9,758,550,459,1914,103,金,土日祝
2024-05-04,全駐車場,14-15,583,552,1236,17,21,711,600,573,1947,121,土,土日祝
2024-05-05,全駐車場,13-14,567,472,1246,7,16,719,574,488,1965,110,日,土日祝
2024-05-06,全駐車場,13-14,555,439,1029,18,16,765,573,455,1794,100,月,土日祝
2024-05-07,全駐車場,10-11,327,151,579,56,55,1848,383,206,2427,23,火,平日
2024-05-08,全駐車場,11-12,320,320,623,56,45,1735,376,365,2358,34,水,平日
2024-05-09,全駐車場,11-12,289,264,604,59,62,1766,348,326,2370,38,木,平日
2024-05-10,全駐車場,11-12,310,302,762,62,63,1710,372,365,2472,43,金,平日
2024-05-11,全駐車場,13-14,738,685,1633,30,28,868,768,713,2501,180,土,土日祝
2024-05-12,全駐車場,12-13,684,642,1610,20,17,812,704,659,2422,142,日,土日祝
2024-05-13,全駐車場,11-12,295,261,573,52,57,1699,347,318,2272,37,月,平日
2024-05-14,全駐車場,10-11,365,182,586,60,82,1723,425,264,2309,23,火,平日
2024-05-15,全駐車場,11-12,346,294,697,58,44,1675,404,338,2372,49,水,平日
2024-05-16,全駐車場,10-11,386,151,727,88,83,1699,474,234,2426,23,木,平日
2024-05-17,全駐車場,10-11,376,174,649,75,102,1674,451,276,2323,19,金,平日
2024-05-18,全駐車場,13-14,661,590,1536,35,30,847,696,620,2383,158,土,土日祝
2024-05-19,全駐車場,13-14,730,671,1605,22,21,767,752,692,2372,182,日,土日祝
2024-05-20,全駐車場,11-12,282,270,630,57,67,1741,339,337,2371,33,月,平日
