0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年12月31日(日),2023年12月31日(日),2023年12月31日(日),,,,,,,,
,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,印字時刻 2026/03/28 20:32,印字時刻 2026/03/28 20:32,印字時刻 2026/03/28 20:32
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,8,0,0,66,0,0,74,0
,01-02,0,0,8,0,0,66,0,0,74,0
,02-03,0,0,8,1,0,67,1,0,75,0
,03-04,1,2,7,0,0,67,1,2,74,0
,04-05,0,0,7,0,0,67,0,0,74,0
,05-06,0,0,7,0,1,66,0,1,73,0
,06-07,0,0,7,0,0,66,0,0,73,0
,07-08,0,0,7,0,1,65,0,1,72,0
,08-09,0,0,7,3,3,65,3,3,72,0
,09-10,0,0,7,9,6,68,9,6,75,0
,10-11,1,1,7,2,1,69,3,2,76,0
,11-12,1,0,8,6,3,72,7,3,80,0
,12-13,0,1,7,1,2,71,1,3,78,0
,13-14,3,2,8,1,4,68,4,6,76,0
,14-15,3,3,8,7,7,69,10,10,77,0
,15-16,0,1,7,2,1,68,2,2,75,0
,16-17,2,0,9,2,2,69,4,2,78,0
,17-18,1,1,9,1,1,69,2,2,78,0
,18-19,3,2,10,2,1,71,5,3,81,0
,19-20,0,0,10,1,4,67,1,4,77,0
,20-21,3,2,11,0,2,65,3,4,76,0
,21-22,0,2,9,1,0,66,1,2,75,0
,22-23,0,1,8,0,0,66,0,1,74,0
,23-24,0,0,8,0,1,65,0,1,73,0
,合　計,18,18,-,39,40,-,57,58,-,0
,,,,,,,,,,,
,総駐車時間,30:15,30:15,30:15,778:48,778:48,778:48,809:03,809:03,809:03,
,平均駐車時間,1:53,1:53,1:53,18:60,18:60,18:60,14:12,14:12,14:12,
,回転率,0.16,0.16,0.16,0.09,0.09,0.09,0.1,0.1,0.1,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
