0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年12月24日(日),2023年12月24日(日),2023年12月24日(日),,,,,,,,
,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,印字時刻 2026/03/28 20:24,印字時刻 2026/03/28 20:24,印字時刻 2026/03/28 20:24
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,2,53,0,0,136,0,2,189,0
,01-02,0,1,52,0,0,136,0,1,188,0
,02-03,0,0,52,0,0,136,0,0,188,0
,03-04,0,0,52,0,1,135,0,1,187,0
,04-05,2,0,54,0,0,135,2,0,189,0
,05-06,0,3,51,1,1,135,1,4,186,0
,06-07,1,1,51,2,0,137,3,1,188,0
,07-08,3,2,52,9,2,144,12,4,196,0
,08-09,19,10,61,12,5,151,31,15,212,1
,09-10,77,14,124,6,5,152,83,19,276,1
,10-11,89,39,177,3,5,150,92,44,327,0
,11-12,66,55,184,3,3,150,69,58,334,6
,12-13,58,52,192,5,1,154,63,53,346,4
,13-14,63,57,197,7,2,159,70,59,356,15
,14-15,111,81,228,4,4,159,115,85,387,9
,15-16,51,95,186,3,2,160,54,97,346,24
,16-17,37,67,152,4,3,161,41,70,313,12
,17-18,18,49,122,1,4,158,19,53,280,11
,18-19,5,23,104,1,10,149,6,33,253,5
,19-20,6,13,97,5,16,138,11,29,235,0
,20-21,4,51,51,1,0,139,5,51,190,0
,21-22,1,12,41,2,6,135,3,18,176,0
,22-23,0,5,34,1,2,134,1,7,168,0
,23-24,0,3,31,1,0,135,1,3,166,0
,合　計,611,635,-,71,72,-,682,707,-,88
,,,,,,,,,,,
,総駐車時間,1741:59,1741:59,1741:59,2627:48,2627:48,2627:48,4369:47,4369:47,4369:47,
,平均駐車時間,2:49,2:49,2:49,27:05,27:05,27:05,6:06,6:06,6:06,
,回転率,2.81,2.81,2.81,0.25,0.25,0.25,1.19,1.19,1.19,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
