0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年12月26日(火),2023年12月26日(火),2023年12月26日(火),,,,,,,,
,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,印字時刻 2026/03/28 20:27,印字時刻 2026/03/28 20:27,印字時刻 2026/03/28 20:27
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,4,0,2,70,0,2,74,0
,01-02,0,1,3,1,0,71,1,1,74,0
,02-03,0,0,3,0,1,70,0,1,73,0
,03-04,0,0,3,0,1,69,0,1,72,0
,04-05,0,0,3,0,0,69,0,0,72,0
,05-06,0,0,3,0,1,68,0,1,71,0
,06-07,0,0,3,4,5,67,4,5,70,0
,07-08,4,0,7,31,16,82,35,16,89,0
,08-09,8,2,13,83,10,154,91,12,167,0
,09-10,12,10,15,28,4,180,40,14,195,0
,10-11,3,3,15,6,6,179,9,9,194,0
,11-12,5,3,17,5,5,179,10,8,196,0
,12-13,1,6,12,4,7,176,5,13,188,0
,13-14,6,2,16,7,5,178,13,7,194,0
,14-15,3,5,14,4,12,170,7,17,184,0
,15-16,6,0,20,5,12,163,11,12,183,0
,16-17,18,24,15,11,9,165,29,33,180,0
,17-18,2,9,7,6,47,125,8,56,132,0
,18-19,5,3,9,14,39,99,19,42,108,0
,19-20,1,1,9,6,20,85,7,21,94,0
,20-21,3,2,10,3,10,78,6,12,88,0
,21-22,4,7,7,5,9,75,9,16,82,0
,22-23,0,0,7,5,4,75,5,4,82,0
,23-24,0,0,7,0,0,75,0,0,82,0
,合　計,81,78,-,228,225,-,309,303,-,0
,,,,,,,,,,,
,総駐車時間,116:24,116:24,116:24,2375:10,2375:10,2375:10,2491:34,2491:34,2491:34,
,平均駐車時間,1:28,1:28,1:28,10:25,10:25,10:25,8:07,8:07,8:07,
,回転率,0.77,0.77,0.77,0.51,0.51,0.51,0.56,0.56,0.56,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
