0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年12月07日(木),2023年12月07日(木),2023年12月07日(木),,,,,,,,
,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,印字時刻 2026/03/28 20:06,印字時刻 2026/03/28 20:06,印字時刻 2026/03/28 20:06
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,13,0,1,204,0,1,217,0
,01-02,0,0,13,0,0,204,0,0,217,0
,02-03,0,0,13,0,0,204,0,0,217,0
,03-04,0,0,13,0,0,204,0,0,217,0
,04-05,0,0,13,0,0,204,0,0,217,0
,05-06,0,0,13,1,1,204,1,1,217,0
,06-07,0,0,13,11,0,215,11,0,228,0
,07-08,1,0,13,38,4,249,39,4,262,0
,08-09,15,5,22,155,21,378,170,26,400,0
,09-10,40,12,52,70,45,407,110,57,459,0
,10-11,34,29,55,15,31,392,49,60,447,0
,11-12,24,30,52,18,17,394,42,47,446,0
,12-13,21,37,35,19,41,370,40,78,405,0
,13-14,16,14,37,18,25,364,34,39,401,0
,14-15,21,20,38,23,20,367,44,40,405,0
,15-16,13,17,34,24,14,377,37,31,411,0
,16-17,12,19,27,30,18,389,42,37,416,0
,17-18,11,15,23,39,50,379,50,65,402,0
,18-19,4,5,22,28,74,331,32,79,353,0
,19-20,7,7,24,16,52,297,23,59,321,0
,20-21,0,6,16,6,50,253,6,56,269,0
,21-22,0,3,13,1,32,221,1,35,234,0
,22-23,2,2,13,2,15,208,4,17,221,0
,23-24,1,0,14,0,7,201,1,7,215,0
,合　計,222,221,-,514,518,-,736,739,-,0
,,,,,,,,,,,
,総駐車時間,230:54,230:54,230:54,7532:45,7532:45,7532:45,7763:39,7763:39,7763:39,
,平均駐車時間,1:02,1:02,1:02,14:27,14:27,14:27,10:25,10:25,10:25,
,回転率,1.74,1.74,1.74,0.93,0.93,0.93,1.08,1.08,1.08,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
