0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年12月21日(木),2023年12月21日(木),2023年12月21日(木),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2026/03/28 20:21,印字時刻 2026/03/28 20:21,印字時刻 2026/03/28 20:21
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,4,9,58,1,14,639,5,23,697,0
,01-02,1,2,57,1,4,636,2,6,693,0
,02-03,0,1,56,1,1,636,1,2,692,0
,03-04,1,1,56,2,2,637,3,3,693,0
,04-05,0,0,56,21,5,652,21,5,708,0
,05-06,4,4,56,34,5,679,38,9,735,0
,06-07,14,3,66,121,16,785,135,19,851,0
,07-08,71,33,104,266,44,1004,337,77,1108,0
,08-09,105,50,156,585,85,1497,690,135,1653,3
,09-10,267,40,379,191,91,1609,458,131,1988,2
,10-11,348,164,574,74,83,1599,422,247,2173,16
,11-12,324,278,613,53,65,1588,377,343,2201,42
,12-13,346,358,605,71,87,1570,417,445,2175,57
,13-14,309,328,588,65,69,1566,374,397,2154,63
,14-15,287,324,549,63,71,1559,350,395,2108,65
,15-16,271,318,501,67,67,1558,338,385,2059,50
,16-17,248,302,444,72,81,1550,320,383,1994,73
,17-18,258,308,399,95,254,1396,353,562,1795,43
,18-19,313,277,430,81,308,1168,394,585,1598,38
,19-20,163,269,329,56,243,982,219,512,1311,37
,20-21,22,159,192,22,162,837,44,321,1029,0
,21-22,12,87,116,18,128,728,30,215,844,0
,22-23,7,39,82,9,69,669,16,108,751,0
,23-24,7,21,70,8,28,647,15,49,717,0
,合　計,3382,3375,-,1977,1982,-,5359,5357,-,489
,,,,,,,,,,,
,総駐車時間,5791:25,5791:25,5791:25,26307:44,26307:44,26307:44,32099:09,32099:09,32099:09,
,平均駐車時間,1:43,1:43,1:43,13:03,13:03,13:03,5:57,5:57,5:57,
,回転率,1.19,1.19,1.19,1.1,1.1,1.1,1.16,1.16,1.16,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
