0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年02月20日(火),2024年02月20日(火),2024年02月20日(火),,,,,,,,
,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,印字時刻 2026/03/28 21:27,印字時刻 2026/03/28 21:27,印字時刻 2026/03/28 21:27
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,0,0,1,28,0,1,28,0
,01-02,0,0,0,0,0,28,0,0,28,0
,02-03,0,0,0,0,0,28,0,0,28,0
,03-04,0,0,0,0,0,28,0,0,28,0
,04-05,0,0,0,4,0,32,4,0,32,0
,05-06,0,0,0,8,0,39,8,0,39,0
,06-07,0,0,0,29,1,68,29,1,68,0
,07-08,21,17,5,33,3,98,54,20,103,0
,08-09,6,8,1,33,3,128,39,11,129,0
,09-10,9,1,8,8,5,130,17,6,138,0
,10-11,17,7,19,2,3,130,19,10,149,0
,11-12,9,17,11,3,1,132,12,18,143,0
,12-13,11,12,10,3,2,133,14,14,143,0
,13-14,9,9,10,6,4,135,15,13,145,0
,14-15,9,10,9,5,4,136,14,14,145,0
,15-16,16,16,10,1,3,134,17,19,144,0
,16-17,6,11,4,5,16,123,11,27,127,0
,17-18,4,5,3,5,18,110,9,23,113,0
,18-19,3,6,0,2,21,93,5,27,93,0
,19-20,0,1,0,3,28,66,3,29,66,0
,20-21,2,1,0,1,22,45,3,23,45,0
,21-22,2,2,0,0,10,35,2,12,35,0
,22-23,0,0,0,0,3,32,0,3,32,0
,23-24,0,0,0,1,2,31,1,2,31,0
,合　計,124,123,-,152,150,-,276,273,-,0
,,,,,,,,,,,
,総駐車時間,100:57,100:57,100:57,2074:06,2074:06,2074:06,2175:03,2175:03,2175:03,
,平均駐車時間,0:47,0:47,0:47,13:50,13:50,13:50,7:48,7:48,7:48,
,回転率,3.79,3.79,3.79,0.69,0.69,0.69,1.11,1.11,1.11,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
