0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年02月29日(木),2024年02月29日(木),2024年02月29日(木),,,,,,,,
,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,印字時刻 2026/03/28 21:37,印字時刻 2026/03/28 21:37,印字時刻 2026/03/28 21:37
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,19,4,0,143,4,0,162,0
,01-02,0,1,18,0,0,143,0,1,161,0
,02-03,0,0,18,0,0,143,0,0,161,0
,03-04,0,0,18,0,1,142,0,1,160,0
,04-05,1,1,18,2,0,144,3,1,162,0
,05-06,0,0,18,3,0,147,3,0,165,0
,06-07,2,0,20,11,3,155,13,3,175,0
,07-08,4,1,23,70,9,214,74,10,237,0
,08-09,26,3,46,130,16,330,156,19,376,0
,09-10,33,8,70,26,20,335,59,28,405,0
,10-11,40,26,86,13,24,325,53,50,411,0
,11-12,36,39,82,11,20,315,47,59,397,6
,12-13,25,36,71,28,15,329,53,51,400,5
,13-14,27,27,71,18,16,332,45,43,403,3
,14-15,25,34,63,12,16,327,37,50,390,5
,15-16,20,27,57,8,17,318,28,44,375,7
,16-17,44,23,77,22,23,317,66,46,394,2
,17-18,20,38,59,7,76,249,27,114,308,13
,18-19,19,30,47,9,38,218,28,68,265,14
,19-20,11,19,39,10,53,176,21,72,215,10
,20-21,0,11,28,7,31,152,7,42,180,0
,21-22,3,10,21,1,13,142,4,23,163,0
,22-23,1,1,21,3,7,136,4,8,157,0
,23-24,1,2,20,2,3,135,3,5,155,0
,合　計,338,337,-,397,401,-,735,738,-,65
,,,,,,,,,,,
,総駐車時間,611:26,611:26,611:26,6984:30,6984:30,6984:30,7595:56,7595:56,7595:56,
,平均駐車時間,1:46,1:46,1:46,17:22,17:22,17:22,10:10,10:10,10:10,
,回転率,1.57,1.57,1.57,1.06,1.06,1.06,1.24,1.24,1.24,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
