0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年03月08日(土),2025年03月08日(土),2025年03月08日(土),,,,,,,,
,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,印字時刻 2025/11/21 21:59,印字時刻 2025/11/21 21:59,印字時刻 2025/11/21 21:59
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,1,16,1,1,123,1,2,139,0
,01-02,0,1,15,0,0,123,0,1,138,0
,02-03,0,1,14,0,2,121,0,3,135,0
,03-04,0,0,14,0,0,121,0,0,135,0
,04-05,0,1,13,0,0,121,0,1,134,0
,05-06,0,0,13,0,0,121,0,0,134,0
,06-07,2,1,14,12,2,130,14,3,144,0
,07-08,6,1,19,7,7,132,13,8,151,0
,08-09,57,3,69,23,11,142,80,14,211,0
,09-10,170,12,230,10,16,137,180,28,367,0
,10-11,44,12,262,6,11,132,50,23,394,0
,11-12,78,35,308,5,6,131,83,41,439,0
,12-13,52,115,245,8,6,133,60,121,378,0
,13-14,31,97,177,5,7,131,36,104,308,0
,14-15,32,29,180,4,10,125,36,39,305,0
,15-16,20,34,168,12,10,125,32,44,293,0
,16-17,12,37,142,13,4,135,25,41,277,0
,17-18,5,106,41,10,12,134,15,118,175,0
,18-19,8,19,29,13,17,130,21,36,159,0
,19-20,2,9,22,4,4,130,6,13,152,0
,20-21,2,7,17,3,7,126,5,14,143,0
,21-22,3,5,16,4,5,125,7,10,141,0
,22-23,0,0,15,2,3,124,2,3,139,0
,23-24,0,1,14,0,0,124,0,1,138,0
,合　計,524,527,-,142,141,-,666,668,-,0
,,,,,,,,,,,
,総駐車時間,1733:29,1733:29,1733:29,2769:51,2769:51,2769:51,4503:20,4503:20,4503:20,
,平均駐車時間,3:19,3:19,3:19,19:56,19:56,19:56,6:49,6:49,6:49,
,回転率,0.97,0.97,0.97,0,0,0,1.23,1.23,1.23,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
