0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年03月09日(日),2025年03月09日(日),2025年03月09日(日),,,,,,,,
,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,印字時刻 2025/11/21 22:00,印字時刻 2025/11/21 22:00,印字時刻 2025/11/21 22:00
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,1,5,45,0,0,79,1,5,124,0
,01-02,0,4,41,0,0,79,0,4,120,0
,02-03,1,0,42,0,0,79,1,0,121,0
,03-04,0,0,42,0,0,79,0,0,121,0
,04-05,1,2,41,2,0,81,3,2,122,0
,05-06,1,0,42,2,1,82,3,1,124,0
,06-07,9,4,47,2,2,82,11,6,129,0
,07-08,13,1,59,4,0,86,17,1,145,0
,08-09,29,14,73,14,1,99,43,15,172,2
,09-10,186,22,229,13,2,110,199,24,339,2
,10-11,418,148,502,6,2,114,424,150,616,19
,11-12,355,292,575,5,2,117,360,294,692,59
,12-13,356,360,576,3,1,119,359,361,695,91
,13-14,380,332,622,1,1,119,381,333,741,89
,14-15,375,370,631,2,3,118,377,373,749,111
,15-16,347,376,599,3,4,117,350,380,716,111
,16-17,305,426,480,3,7,113,308,433,593,136
,17-18,262,392,352,1,12,103,263,404,455,95
,18-19,209,307,252,1,7,97,210,314,349,72
,19-20,100,241,110,3,6,93,103,247,203,48
,20-21,6,71,44,1,12,82,7,83,126,0
,21-22,8,19,33,1,2,81,9,21,114,0
,22-23,3,7,29,1,4,78,4,11,107,0
,23-24,1,1,29,1,2,77,2,3,106,0
,合　計,3366,3394,-,69,71,-,3435,3465,-,835
,,,,,,,,,,,
,総駐車時間,5045:52,5045:52,5045:52,1743:55,1743:55,1743:55,6789:47,6789:47,6789:47,
,平均駐車時間,1:29,1:29,1:29,19:49,19:49,19:49,1:57,1:57,1:57,
,回転率,3.69,3.69,3.69,0,0,0,3.78,3.78,3.78,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
