0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年03月03日(月),2025年03月03日(月),2025年03月03日(月),,,,,,,,
,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,印字時刻 2025/11/21 21:54,印字時刻 2025/11/21 21:54,印字時刻 2025/11/21 21:54
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,1,1,0,0,0,237,1,1,237,0
,01-02,0,0,0,0,0,237,0,0,237,0
,02-03,0,0,0,0,0,237,0,0,237,0
,03-04,0,0,0,0,0,237,0,0,237,0
,04-05,0,0,0,1,1,237,1,1,237,0
,05-06,0,0,0,2,0,239,2,0,239,0
,06-07,1,1,0,11,3,246,12,4,246,0
,07-08,6,3,3,38,23,263,44,26,266,0
,08-09,34,5,30,162,17,406,196,22,436,0
,09-10,43,31,46,65,22,449,108,53,495,0
,10-11,40,29,56,15,29,436,55,58,492,0
,11-12,23,45,35,16,36,416,39,81,451,0
,12-13,15,26,23,12,27,401,27,53,424,0
,13-14,23,20,24,25,37,389,48,57,413,0
,14-15,24,26,23,27,23,392,51,49,415,0
,15-16,24,23,24,25,22,396,49,45,420,0
,16-17,12,26,10,27,23,399,39,49,409,0
,17-18,5,7,8,28,57,372,33,64,380,0
,18-19,2,6,4,26,69,329,28,75,333,0
,19-20,1,4,1,18,48,301,19,52,302,0
,20-21,3,3,1,2,42,259,5,45,260,0
,21-22,0,1,0,0,13,245,0,14,245,0
,22-23,1,1,0,0,13,232,1,14,232,0
,23-24,0,0,0,1,6,227,1,6,227,0
,合　計,258,258,-,501,511,-,759,769,-,0
,,,,,,,,,,,
,総駐車時間,239:38,239:38,239:38,9720:59,9720:59,9720:59,9960:37,9960:37,9960:37,
,平均駐車時間,0:56,0:56,0:56,19:15,19:15,19:15,13:05,13:05,13:05,
,回転率,0.46,0.46,0.46,0,0,0,1.38,1.38,1.38,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
