日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2026-02-01,全駐車場,14-15,634,602,1349,29,26,832,663,628,2181,149,日,土日祝
2026-02-02,全駐車場,10-11,390,144,841,62,81,1883,452,225,2724,13,月,平日
2026-02-03,全駐車場,11-12,363,338,685,63,70,1861,426,408,2546,56,火,平日
2026-02-04,全駐車場,14-15,307,279,654,70,52,1858,377,331,2512,60,水,平日
2026-02-05,全駐車場,11-12,307,297,667,64,65,1923,371,362,2590,45,木,平日
2026-02-06,全駐車場,11-12,351,320,844,65,82,1870,416,402,2714,44,金,平日
2026-02-07,全駐車場,14-15,507,461,1081,27,38,987,534,499,2068,109,土,土日祝
2026-02-08,全駐車場,14-15,290,253,678,17,18,899,307,271,1577,52,日,土日祝
2026-02-09,全駐車場,10-11,273,150,496,84,81,1784,357,231,2280,19,月,平日
2026-02-10,全駐車場,11-12,318,260,607,55,67,1853,373,327,2460,41,火,平日
2026-02-11,全駐車場,13-14,620,433,1503,27,16,980,647,449,2483,104,水,土日祝
2026-02-12,全駐車場,13-14,334,301,822,62,60,1856,396,361,2678,66,木,平日
2026-02-13,全駐車場,10-11,320,144,579,84,96,1828,404,240,2407,19,金,平日
2026-02-14,全駐車場,14-15,652,543,1626,39,37,975,691,580,2601,126,土,土日祝
2026-02-15,全駐車場,13-14,687,539,1392,23,24,898,710,563,2290,133,日,土日祝
2026-02-16,全駐車場,10-11,345,165,564,54,93,1876,399,258,2440,15,月,平日
2026-02-17,全駐車場,11-12,293,290,613,65,65,1816,358,355,2429,48,火,平日
2026-02-18,全駐車場,11-12,377,319,818,62,52,1816,439,371,2634,50,水,平日
2026-02-19,全駐車場,10-11,455,177,749,79,107,1831,534,284,2580,19,木,平日
2026-02-20,全駐車場,10-11,355,170,642,82,92,1752,437,262,2394,22,金,平日
2026-02-21,全駐車場,14-15,616,540,1111,42,43,935,658,583,2046,121,土,土日祝
2026-02-22,全駐車場,13-14,581,478,1205,15,18,852,596,496,2057,108,日,土日祝
2026-02-23,全駐車場,13-14,566,446,1058,26,29,896,592,475,1954,111,月,土日祝
2026-02-24,全駐車場,10-11,355,165,641,64,84,1892,419,249,2533,25,火,平日
2026-02-25,全駐車場,10-11,371,193,843,64,81,1799,435,274,2642,33,水,平日
2026-02-26,全駐車場,11-12,358,343,743,74,70,1865,432,413,2608,54,木,平日
2026-02-27,全駐車場,10-11,359,164,693,84,103,1811,443,267,2504,25,金,平日
2026-02-28,全駐車場,14-15,646,561,1482,34,44,937,680,605,2419,132,土,土日祝
