0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2026年02月20日(金),2026年02月20日(金),2026年02月20日(金),,,,,,,,
,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,駐車場＝南1駐車場,印字時刻 2026/03/02 08:41,印字時刻 2026/03/02 08:41,印字時刻 2026/03/02 08:41
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,2,3,0,0,1,120,2,4,120,0
,01-02,1,0,0,0,0,120,1,0,120,0
,02-03,0,0,0,0,0,120,0,0,120,0
,03-04,0,0,0,0,0,120,0,0,120,0
,04-05,0,0,0,4,1,123,4,1,123,0
,05-06,1,0,0,5,1,127,6,1,127,0
,06-07,2,1,0,15,0,140,17,1,140,0
,07-08,15,6,0,27,3,165,42,9,165,0
,08-09,39,10,0,88,15,241,127,25,241,7
,09-10,148,15,130,16,22,233,164,37,363,3
,10-11,231,69,295,5,8,230,236,77,525,15
,11-12,180,187,290,9,4,235,189,191,525,43
,12-13,196,216,268,7,19,222,203,235,490,61
,13-14,204,195,277,7,9,222,211,204,499,42
,14-15,191,197,270,7,8,220,198,205,490,56
,15-16,205,225,255,9,4,225,214,229,480,63
,16-17,226,210,269,14,9,229,240,219,498,56
,17-18,220,223,264,14,34,210,234,257,474,55
,18-19,282,236,310,10,48,171,292,284,481,59
,19-20,151,262,204,6,35,143,157,297,347,38
,20-21,45,158,87,1,27,118,46,185,205,0
,21-22,14,70,34,2,5,114,16,75,148,0
,22-23,8,55,0,0,1,113,8,56,113,0
,23-24,5,18,0,6,5,113,11,23,113,0
,合　計,2366,2356,-,252,259,-,2618,2615,-,498
,,,,,,,,,,,
,総駐車時間,3774:50,3774:50,3774:50,3921:17,3921:17,3921:17,7696:07,7696:07,7696:07,
,平均駐車時間,1:36,1:36,1:36,14:55,14:55,14:55,2:56,2:56,2:56,
,回転率,2.58,2.58,2.58,0,0,0,2.86,2.86,2.86,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
