0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2026年02月07日(土),2026年02月07日(土),2026年02月07日(土),,,,,,,,
,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,駐車場＝全駐車場,印字時刻 2026/03/02 08:28,印字時刻 2026/03/02 08:28,印字時刻 2026/03/02 08:28
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,5,16,118,6,27,821,11,43,939,0
,01-02,2,7,113,3,3,820,5,10,933,0
,02-03,3,4,112,2,0,822,5,4,934,0
,03-04,0,1,111,3,2,823,3,3,934,0
,04-05,1,1,111,10,7,826,11,8,937,0
,05-06,2,1,112,5,3,828,7,4,940,0
,06-07,20,5,126,16,8,836,36,13,962,0
,07-08,43,14,155,59,27,865,102,41,1020,0
,08-09,125,34,242,105,38,934,230,72,1176,4
,09-10,411,63,582,84,39,982,495,102,1564,6
,10-11,656,274,975,49,32,997,705,306,1972,33
,11-12,527,559,950,31,26,1001,558,585,1951,92
,12-13,527,546,922,43,42,1003,570,588,1925,95
,13-14,566,453,1035,29,35,996,595,488,2031,84
,14-15,507,461,1081,27,38,987,534,499,2068,109
,15-16,458,579,970,38,32,992,496,611,1962,129
,16-17,377,569,773,39,35,996,416,604,1769,141
,17-18,291,489,579,32,68,965,323,557,1544,111
,18-19,209,352,433,35,74,920,244,426,1353,79
,19-20,112,246,301,17,63,877,129,309,1178,30
,20-21,27,135,187,13,39,851,40,174,1038,0
,21-22,9,30,167,9,33,826,18,63,993,0
,22-23,9,41,139,5,18,812,14,59,951,0
,23-24,7,17,125,3,9,806,10,26,931,0
,合　計,4894,4897,-,663,698,-,5557,5595,-,913
,,,,,,,,,,,
,総駐車時間,8120:45,8120:45,8120:45,12484:54,12484:54,12484:54,20605:39,20605:39,20605:39,
,平均駐車時間,1:40,1:40,1:40,19:02,19:02,19:02,3:43,3:43,3:43,
,回転率,1.23,1.23,1.23,1.08,1.08,1.08,1.21,1.21,1.21,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
