日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2024-10-01,全駐車場,10-11,405,203,695,67,75,1832,472,278,2527,20,火,平日
2024-10-02,全駐車場,10-11,388,158,725,52,87,1721,440,245,2446,18,水,平日
2024-10-03,全駐車場,10-11,391,177,707,59,90,1775,450,267,2482,26,木,平日
2024-10-04,全駐車場,11-12,340,309,733,52,66,1669,392,375,2402,46,金,平日
2024-10-05,全駐車場,14-15,652,534,1442,34,37,836,686,571,2278,112,土,土日祝
2024-10-06,全駐車場,13-14,550,456,1117,18,27,742,568,483,1859,100,日,土日祝
2024-10-07,全駐車場,10-11,380,160,798,61,88,1772,441,248,2570,15,月,平日
2024-10-08,全駐車場,11-12,320,301,737,50,69,1758,370,370,2495,41,火,平日
2024-10-09,全駐車場,11-12,333,328,995,51,57,1708,384,385,2703,45,水,平日
2024-10-10,全駐車場,10-11,323,155,655,76,80,1704,399,235,2359,19,木,平日
2024-10-11,全駐車場,11-12,294,288,741,47,61,1682,341,349,2423,42,金,平日
2024-10-12,全駐車場,14-15,676,620,1536,37,32,808,713,652,2344,141,土,土日祝
2024-10-13,全駐車場,13-14,683,662,1787,18,17,754,701,679,2541,136,日,土日祝
2024-10-14,全駐車場,12-13,676,672,1460,22,26,748,698,698,2208,121,月,土日祝
2024-10-15,全駐車場,10-11,316,150,595,60,63,1811,376,213,2406,26,火,平日
2024-10-16,全駐車場,11-12,354,325,730,51,50,1754,405,375,2484,45,水,平日
2024-10-17,全駐車場,10-11,388,171,720,56,80,1712,444,251,2432,25,木,平日
2024-10-18,全駐車場,10-11,416,178,791,62,80,1681,478,258,2472,14,金,平日
2024-10-19,全駐車場,15-16,767,729,1508,27,15,809,794,744,2317,143,土,土日祝
2024-10-20,全駐車場,13-14,695,612,1607,15,27,737,710,639,2344,143,日,土日祝
2024-10-21,全駐車場,10-11,308,132,629,71,78,1824,379,210,2453,15,月,平日
2024-10-22,全駐車場,10-11,380,165,826,55,69,1807,435,234,2633,22,火,平日
2024-10-23,全駐車場,14-15,366,358,1146,61,59,1664,427,417,2810,69,水,平日
2024-10-24,全駐車場,10-11,434,167,838,68,86,1764,502,253,2602,27,木,平日
2024-10-25,全駐車場,10-11,384,166,722,66,83,1730,450,249,2452,24,金,平日
2024-10-26,全駐車場,13-14,685,525,1641,22,28,858,707,553,2499,109,土,土日祝
2024-10-27,全駐車場,13-14,616,587,1453,18,27,776,634,614,2229,129,日,土日祝
2024-10-28,全駐車場,10-11,379,184,754,64,88,1794,443,272,2548,29,月,平日
2024-10-29,全駐車場,11-12,369,344,787,52,56,1757,421,400,2544,53,火,平日
2024-10-30,全駐車場,10-11,550,237,1040,74,83,1779,624,320,2819,35,水,平日
2024-10-31,全駐車場,10-11,424,151,794,79,89,1793,503,240,2587,33,木,平日
