0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2026年01月27日(火),2026年01月27日(火),2026年01月27日(火),,,,,,,,
,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,駐車場＝南3駐車場,印字時刻 2026/02/01 14:32,印字時刻 2026/02/01 14:32,印字時刻 2026/02/01 14:32
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,4,1,1,239,1,1,243,0
,01-02,0,0,4,0,1,238,0,1,242,0
,02-03,0,0,4,0,0,238,0,0,242,0
,03-04,0,0,4,0,0,238,0,0,242,0
,04-05,0,0,4,0,0,238,0,0,242,0
,05-06,0,0,4,1,1,239,1,1,243,0
,06-07,0,0,4,10,1,247,10,1,251,0
,07-08,4,3,5,32,6,272,36,9,277,0
,08-09,28,2,30,172,20,423,200,22,453,0
,09-10,30,16,44,64,48,441,94,64,485,0
,10-11,33,28,49,23,43,421,56,71,470,0
,11-12,17,33,33,17,31,407,34,64,440,0
,12-13,9,20,23,27,34,400,36,54,423,0
,13-14,23,17,29,39,15,424,62,32,453,0
,14-15,19,18,30,22,20,426,41,38,456,0
,15-16,21,24,28,33,19,439,54,43,467,0
,16-17,8,22,13,25,26,440,33,48,453,0
,17-18,2,8,7,35,62,412,37,70,419,0
,18-19,3,1,9,25,86,351,28,87,360,0
,19-20,3,6,6,22,53,323,25,59,329,0
,20-21,2,2,6,11,38,293,13,40,299,0
,21-22,0,2,4,2,32,264,2,34,268,0
,22-23,0,0,4,0,11,252,0,11,256,0
,23-24,0,0,4,1,11,242,1,11,246,0
,合　計,202,202,-,562,559,-,764,761,-,0
,,,,,,,,,,,
,総駐車時間,223:07,223:07,223:07,8116:10,8116:10,8116:10,8339:17,8339:17,8339:17,
,平均駐車時間,1:08,1:08,1:08,14:57,14:57,14:57,11:15,11:15,11:15,
,回転率,0.29,0.29,0.29,0,0,0,1.07,1.07,1.07,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
