0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2026年01月15日(木),2026年01月15日(木),2026年01月15日(木),,,,,,,,
,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,印字時刻 2026/02/01 14:21,印字時刻 2026/02/01 14:21,印字時刻 2026/02/01 14:21
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,5,0,1,52,0,1,57,0
,01-02,1,2,4,0,1,51,1,3,55,0
,02-03,0,0,4,0,0,51,0,0,55,0
,03-04,0,0,4,0,0,51,0,0,55,0
,04-05,0,0,4,3,1,53,3,1,57,0
,05-06,0,0,4,6,0,58,6,0,62,0
,06-07,1,0,5,27,0,86,28,0,91,0
,07-08,26,21,10,37,7,116,63,28,126,0
,08-09,5,9,6,36,11,141,41,20,147,0
,09-10,8,1,13,8,13,136,16,14,149,0
,10-11,5,4,14,4,1,139,9,5,153,0
,11-12,12,14,12,6,2,143,18,16,155,0
,12-13,9,8,13,5,4,144,14,12,157,0
,13-14,3,6,10,7,3,148,10,9,158,0
,14-15,7,9,8,3,3,148,10,12,156,0
,15-16,9,5,12,5,1,151,14,6,163,0
,16-17,3,10,5,8,12,149,11,22,154,0
,17-18,7,3,9,6,22,132,13,25,141,0
,18-19,3,6,6,8,25,115,11,31,121,0
,19-20,0,1,5,4,22,98,4,23,103,0
,20-21,0,0,5,2,16,83,2,16,88,0
,21-22,0,1,4,0,18,65,0,19,69,0
,22-23,0,0,4,0,7,62,0,7,66,0
,23-24,1,1,0,0,0,0,1,1,0,0
,合　計,100,101,-,175,170,-,275,271,-,0
,,,,,,,,,,,
,総駐車時間,63:39,63:39,63:39,2279:24,2279:24,2279:24,2343:03,2343:03,2343:03,
,平均駐車時間,0:39,0:39,0:39,13:29,13:29,13:29,8:47,8:47,8:47,
,回転率,0.4,0.4,0.4,0,0,0,1.08,1.08,1.08,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
