0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2025年10月10日(金),2025年10月10日(金),2025年10月10日(金),,,,,,,,
,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,印字時刻 2025/11/19 10:39,印字時刻 2025/11/19 10:39,印字時刻 2025/11/19 10:39
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,23,5,0,108,5,0,131,0
,01-02,1,1,23,0,0,108,1,1,131,0
,02-03,0,0,23,1,0,109,1,0,132,0
,03-04,0,0,23,2,3,108,2,3,131,0
,04-05,0,0,23,0,1,107,0,1,130,0
,05-06,0,0,23,3,1,109,3,1,132,0
,06-07,1,0,24,11,1,119,12,1,143,0
,07-08,7,0,31,40,31,127,47,31,158,0
,08-09,42,0,72,112,12,227,154,12,299,0
,09-10,17,2,88,31,16,244,48,18,332,0
,10-11,18,3,104,7,4,246,25,7,350,0
,11-12,3,7,99,5,11,239,8,18,338,0
,12-13,5,10,94,13,18,235,18,28,329,0
,13-14,7,9,91,12,10,237,19,19,328,0
,14-15,7,3,94,7,18,226,14,21,320,0
,15-16,4,9,92,7,7,225,11,16,317,0
,16-17,1,32,61,17,14,228,18,46,289,0
,17-18,2,34,28,13,60,181,15,94,209,0
,18-19,9,4,33,26,59,151,35,63,184,0
,19-20,7,7,33,9,31,128,16,38,161,0
,20-21,2,4,31,7,16,119,9,20,150,0
,21-22,8,12,27,9,18,109,17,30,136,0
,22-23,1,1,27,7,7,112,8,8,139,0
,23-24,4,4,27,3,3,112,7,7,139,0
,合　計,146,142,-,347,341,-,493,483,-,0
,,,,,,,,,,,
,総駐車時間,651:45,651:45,651:45,4672:32,4672:32,4672:32,5324:17,5324:17,5324:17,
,平均駐車時間,3:35,3:35,3:35,14:10,14:10,14:10,10:24,10:24,10:24,
,回転率,0.34,0.34,0.34,0,0,0,0.95,0.95,0.95,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
