日付,駐車場,時間帯,一般入庫,一般出庫,一般在庫,定期入庫,定期出庫,定期在庫,合計入庫,合計出庫,合計在庫,事前精算利用台数,曜日,土日祝区分
2024-06-01,全駐車場,14-15,598,527,1447,29,35,861,627,562,2308,118,土,土日祝
2024-06-02,全駐車場,13-14,706,537,1523,18,25,788,724,562,2311,110,日,土日祝
2024-06-03,全駐車場,10-11,314,122,597,61,80,1788,375,202,2385,16,月,平日
2024-06-04,全駐車場,14-15,281,294,613,65,53,1708,346,347,2321,61,火,平日
2024-06-05,全駐車場,11-12,338,302,637,48,64,1729,386,366,2366,47,水,平日
2024-06-06,全駐車場,11-12,293,268,665,65,56,1725,358,324,2390,50,木,平日
2024-06-07,全駐車場,10-11,372,145,643,63,91,1632,435,236,2275,16,金,平日
2024-06-08,全駐車場,14-15,588,555,1326,21,40,825,609,595,2151,116,土,土日祝
2024-06-09,全駐車場,14-15,713,643,1615,22,20,781,735,663,2396,150,日,土日祝
2024-06-10,全駐車場,11-12,313,285,655,53,71,1748,366,356,2403,40,月,平日
2024-06-11,全駐車場,11-12,353,310,679,62,53,1745,415,363,2424,48,火,平日
2024-06-12,全駐車場,11-12,371,320,716,56,57,1681,427,377,2397,31,水,平日
2024-06-13,全駐車場,13-14,401,261,744,53,93,1646,454,354,2390,60,木,平日
2024-06-14,全駐車場,11-12,341,321,694,76,54,1666,417,375,2360,48,金,平日
2024-06-15,全駐車場,11-12,642,579,1494,21,22,847,663,601,2341,91,土,土日祝
2024-06-16,全駐車場,13-14,647,584,1345,11,20,768,658,604,2113,147,日,土日祝
2024-06-17,全駐車場,11-12,304,288,670,63,74,1716,367,362,2386,37,月,平日
2024-06-18,全駐車場,13-14,446,296,944,62,66,1708,508,362,2652,59,火,平日
2024-06-19,全駐車場,11-12,343,325,720,51,58,1687,394,383,2407,35,水,平日
2024-06-20,全駐車場,11-12,323,279,729,58,69,1724,381,348,2453,37,木,平日
2024-06-21,全駐車場,12-13,421,371,816,73,98,1630,494,469,2446,52,金,平日
2024-06-22,全駐車場,13-14,711,491,1305,22,25,838,733,516,2143,99,土,土日祝
2024-06-23,全駐車場,14-15,600,593,1242,23,25,784,623,618,2026,137,日,土日祝
2024-06-24,全駐車場,10-11,330,165,614,55,86,1747,385,251,2361,21,月,平日
2024-06-25,全駐車場,11-12,361,341,662,64,68,1713,425,409,2375,52,火,平日
2024-06-26,全駐車場,11-12,355,311,828,53,56,1679,408,367,2507,59,水,平日
2024-06-27,全駐車場,14-15,362,314,819,70,70,1681,432,384,2500,78,木,平日
2024-06-28,全駐車場,11-12,348,340,746,55,69,1655,403,409,2401,44,金,平日
2024-06-29,全駐車場,14-15,620,581,1423,29,40,840,649,621,2263,120,土,土日祝
2024-06-30,全駐車場,14-15,660,620,1478,24,34,767,684,654,2245,119,日,土日祝
