0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2024年06月06日(木),2024年06月06日(木),2024年06月06日(木),,,,,,,,
,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,印字時刻 2025/11/21 17:05,印字時刻 2025/11/21 17:05,印字時刻 2025/11/21 17:05
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,3,0,5,26,0,5,29,0
,01-02,0,0,3,0,0,26,0,0,29,0
,02-03,0,0,3,0,1,25,0,1,28,0
,03-04,0,0,3,1,0,26,1,0,29,0
,04-05,0,0,3,2,0,28,2,0,31,0
,05-06,0,0,3,11,0,39,11,0,42,0
,06-07,0,0,3,35,1,72,35,1,75,0
,07-08,31,25,10,39,3,108,70,28,118,0
,08-09,5,11,3,26,6,129,31,17,132,0
,09-10,6,0,9,6,3,132,12,3,141,0
,10-11,9,4,14,7,1,138,16,5,152,0
,11-12,6,10,10,4,2,140,10,12,150,0
,12-13,5,6,9,3,4,140,8,10,149,0
,13-14,12,6,15,3,4,138,15,10,153,0
,14-15,12,16,13,1,1,138,13,17,151,0
,15-16,6,11,6,3,2,139,9,13,145,0
,16-17,2,4,4,1,11,129,3,15,133,0
,17-18,0,1,3,2,20,111,2,21,114,0
,18-19,5,3,5,5,23,93,10,26,98,0
,19-20,2,1,6,4,34,63,6,35,69,0
,20-21,0,2,5,1,18,47,1,20,52,0
,21-22,0,1,3,0,9,37,0,10,40,0
,22-23,0,0,3,0,5,32,0,5,35,0
,23-24,0,0,3,0,3,29,0,3,32,0
,合　計,101,101,-,154,156,-,255,257,-,0
,,,,,,,,,,,
,総駐車時間,61:29,61:29,61:29,1925:01,1925:01,1925:01,1986:30,1986:30,1986:30,
,平均駐車時間,0:38,0:38,0:38,12:20,12:20,12:20,7:49,7:49,7:49,
,回転率,2.88,2.88,2.88,0.72,0.72,0.72,1.01,1.01,1.01,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
