0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年05月05日(金),2023年05月05日(金),2023年05月05日(金),,,,,,,,
,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,駐車場＝北2駐車場,印字時刻 2026/03/28 16:02,印字時刻 2026/03/28 16:02,印字時刻 2026/03/28 16:02
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,0,1,0,23,1,0,23,0
,01-02,0,0,0,0,0,23,0,0,23,0
,02-03,0,0,0,0,0,23,0,0,23,0
,03-04,0,0,0,0,0,23,0,0,23,0
,04-05,0,0,0,0,0,23,0,0,23,0
,05-06,0,0,0,2,0,25,2,0,25,0
,06-07,0,0,0,3,0,28,3,0,28,0
,07-08,0,0,0,0,0,28,0,0,28,0
,08-09,4,1,0,1,1,28,5,2,28,0
,09-10,51,9,40,1,2,27,52,11,67,0
,10-11,90,13,119,0,0,27,90,13,146,0
,11-12,71,41,148,1,1,27,72,42,175,0
,12-13,45,61,133,0,0,27,45,61,160,0
,13-14,64,46,152,0,0,27,64,46,179,0
,14-15,47,66,133,2,1,28,49,67,161,0
,15-16,19,70,82,1,2,27,20,72,109,0
,16-17,9,61,30,2,3,26,11,64,56,0
,17-18,6,34,1,4,3,27,10,37,28,0
,18-19,1,3,0,1,2,26,2,5,26,0
,19-20,0,0,0,1,3,24,1,3,24,0
,20-21,0,2,0,0,0,24,0,2,24,0
,21-22,0,1,0,0,1,23,0,2,23,0
,22-23,0,0,0,0,0,23,0,0,23,0
,23-24,0,0,0,0,0,23,0,0,23,0
,合　計,407,408,-,20,19,-,427,427,-,0
,,,,,,,,,,,
,総駐車時間,853:35,853:35,853:35,369:40,369:40,369:40,1223:15,1223:15,1223:15,
,平均駐車時間,2:06,2:06,2:06,18:29,18:29,18:29,2:51,2:51,2:51,
,回転率,12,12,12,0.09,0.09,0.09,1.71,1.71,1.71,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
