0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年05月24日(水),2023年05月24日(水),2023年05月24日(水),,,,,,,,
,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,印字時刻 2026/03/28 16:25,印字時刻 2026/03/28 16:25,印字時刻 2026/03/28 16:25
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,0,0,0,15,0,0,15,0
,01-02,0,0,0,0,0,15,0,0,15,0
,02-03,0,0,0,2,0,17,2,0,17,0
,03-04,0,0,0,0,0,17,0,0,17,0
,04-05,0,0,0,6,0,23,6,0,23,0
,05-06,0,0,0,2,0,25,2,0,25,0
,06-07,0,0,0,1,1,25,1,1,25,0
,07-08,3,3,0,28,2,51,31,5,51,0
,08-09,6,2,2,66,5,111,72,7,113,0
,09-10,6,3,6,11,5,118,17,8,124,0
,10-11,5,9,2,4,2,120,9,11,122,0
,11-12,6,2,6,3,2,121,9,4,127,0
,12-13,3,4,5,6,7,120,9,11,125,0
,13-14,6,1,10,5,6,119,11,7,129,0
,14-15,5,7,8,0,4,115,5,11,123,0
,15-16,4,6,6,2,6,111,6,12,117,0
,16-17,5,7,4,2,29,84,7,36,88,0
,17-18,5,8,2,4,30,58,9,38,60,0
,18-19,2,2,1,2,21,40,4,23,41,0
,19-20,0,1,0,3,17,26,3,18,26,0
,20-21,1,2,0,1,5,21,2,7,21,0
,21-22,1,0,0,3,5,19,4,5,19,0
,22-23,0,1,0,0,3,16,0,4,16,0
,23-24,0,0,0,1,2,15,1,2,15,0
,合　計,58,58,-,152,152,-,210,210,-,0
,,,,,,,,,,,
,総駐車時間,58:47,58:47,58:47,1380:34,1380:34,1380:34,1439:21,1439:21,1439:21,
,平均駐車時間,1:02,1:02,1:02,8:58,8:58,8:58,6:49,6:49,6:49,
,回転率,0.9,0.9,0.9,1.19,1.19,1.19,1.1,1.1,1.1,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
