0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年05月13日(土),2023年05月13日(土),2023年05月13日(土),,,,,,,,
,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,駐車場＝南4駐車場,印字時刻 2026/03/28 16:11,印字時刻 2026/03/28 16:11,印字時刻 2026/03/28 16:11
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,1,12,1,1,75,1,2,87,0
,01-02,0,0,12,0,0,75,0,0,87,0
,02-03,0,0,12,0,1,74,0,1,86,0
,03-04,0,0,12,0,2,72,0,2,84,0
,04-05,0,0,12,0,1,71,0,1,83,0
,05-06,0,0,12,1,1,71,1,1,83,0
,06-07,0,0,12,2,2,71,2,2,83,0
,07-08,10,1,19,13,5,79,23,6,98,0
,08-09,40,4,57,18,10,87,58,14,144,0
,09-10,31,9,78,16,4,99,47,13,177,0
,10-11,53,20,111,6,8,97,59,28,208,0
,11-12,36,21,126,5,3,99,41,24,225,0
,12-13,39,58,110,7,5,101,46,63,211,0
,13-14,33,28,112,2,1,101,35,29,213,0
,14-15,19,26,108,4,6,99,23,32,207,0
,15-16,10,32,84,7,4,103,17,36,187,0
,16-17,10,35,59,5,2,106,15,37,165,0
,17-18,10,35,34,9,8,108,19,43,142,0
,18-19,6,24,16,7,13,101,13,37,117,0
,19-20,5,4,17,7,22,86,12,26,103,0
,20-21,1,1,17,4,10,80,5,11,97,0
,21-22,0,1,16,2,4,78,2,5,94,0
,22-23,0,0,16,0,2,76,0,2,92,0
,23-24,0,1,15,1,1,76,1,2,91,0
,合　計,303,301,-,117,116,-,420,417,-,0
,,,,,,,,,,,
,総駐車時間,752:24,752:24,752:24,1651:06,1651:06,1651:06,2403:30,2403:30,2403:30,
,平均駐車時間,2:31,2:31,2:31,15:09,15:09,15:09,5:53,5:53,5:53,
,回転率,2.93,2.93,2.93,0.24,0.24,0.24,0.74,0.74,0.74,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
