0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年08月20日(日),2023年08月20日(日),2023年08月20日(日),,,,,,,,
,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,駐車場＝北3駐車場,印字時刻 2026/03/28 18:05,印字時刻 2026/03/28 18:05,印字時刻 2026/03/28 18:05
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,0,0,0,0,0,0,0,0
,01-02,0,0,0,0,0,0,0,0,0,0
,02-03,0,0,0,1,0,0,1,0,0,0
,03-04,0,0,0,1,0,0,1,0,0,0
,04-05,0,0,0,4,0,0,4,0,0,0
,05-06,0,0,0,0,0,0,0,0,0,0
,06-07,0,0,0,0,0,0,0,0,0,0
,07-08,0,0,0,3,0,0,3,0,0,0
,08-09,1,1,1,9,4,33,10,5,34,0
,09-10,0,0,1,1,1,33,1,1,34,0
,10-11,1,0,2,2,3,32,3,3,34,0
,11-12,1,1,2,0,0,32,1,1,34,0
,12-13,0,1,1,3,3,32,3,4,33,0
,13-14,0,0,1,1,2,31,1,2,32,0
,14-15,1,0,2,3,5,29,4,5,31,0
,15-16,0,0,2,6,4,31,6,4,33,0
,16-17,1,1,2,3,1,33,4,2,35,0
,17-18,1,2,1,8,4,38,9,6,39,0
,18-19,1,1,1,2,7,32,3,8,33,0
,19-20,0,0,1,1,3,30,1,3,31,0
,20-21,0,0,1,2,0,32,2,0,33,0
,21-22,0,0,1,0,8,24,0,8,25,0
,22-23,0,0,1,2,2,24,2,2,25,0
,23-24,0,0,1,1,2,23,1,2,24,0
,合　計,7,7,-,53,49,-,60,56,-,0
,,,,,,,,,,,
,総駐車時間,6:15,6:15,6:15,867:27,867:27,867:27,873:42,873:42,873:42,
,平均駐車時間,0:42,0:42,0:42,15:13,15:13,15:13,13:14,13:14,13:14,
,回転率,0.14,0.14,0.14,0.44,0.44,0.44,0.34,0.34,0.34,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
