0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報,時間帯別入出庫日報
,,,,,,,,,,,
,2023年08月03日(木),2023年08月03日(木),2023年08月03日(木),,,,,,,,
,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,駐車場＝南2駐車場,印字時刻 2026/03/28 17:46,印字時刻 2026/03/28 17:46,印字時刻 2026/03/28 17:46
,,一般,一般,一般,定期,定期,定期,合計,合計,合計,事前精算  利用台数
,,入庫,出庫,在庫,入庫,出庫,在庫,入庫,出庫,在庫,事前精算  利用台数
,00-01,0,0,12,1,0,145,1,0,157,0
,01-02,0,0,12,1,0,146,1,0,158,0
,02-03,0,0,12,0,0,146,0,0,158,0
,03-04,0,0,12,0,1,145,0,1,157,0
,04-05,0,0,12,0,1,144,0,1,156,0
,05-06,0,0,12,3,0,147,3,0,159,0
,06-07,0,0,12,10,2,155,10,2,167,0
,07-08,3,0,15,65,3,216,68,3,231,0
,08-09,17,0,32,127,25,317,144,25,349,0
,09-10,38,7,63,20,28,311,58,35,374,0
,10-11,41,21,83,10,23,299,51,44,382,0
,11-12,28,36,76,14,11,302,42,47,378,3
,12-13,36,41,71,21,22,301,57,63,372,2
,13-14,36,24,82,20,18,302,56,42,384,4
,14-15,42,40,83,16,11,307,58,51,390,3
,15-16,37,42,78,23,17,311,60,59,389,1
,16-17,22,52,50,14,14,314,36,66,364,4
,17-18,25,31,42,17,84,246,42,115,288,2
,18-19,13,22,34,7,57,196,20,79,230,3
,19-20,1,11,24,7,44,159,8,55,183,2
,20-21,0,6,18,9,19,150,9,25,168,0
,21-22,0,2,16,0,3,146,0,5,162,0
,22-23,0,0,16,3,9,140,3,9,156,0
,23-24,0,2,14,1,3,138,1,5,152,0
,合　計,339,337,-,389,395,-,728,732,-,24
,,,,,,,,,,,
,総駐車時間,558:57,558:57,558:57,6340:08,6340:08,6340:08,6899:05,6899:05,6899:05,
,平均駐車時間,1:38,1:38,1:38,16:18,16:18,16:18,9:27,9:27,9:27,
,回転率,1.55,1.55,1.55,1.02,1.02,1.02,1.21,1.21,1.21,
,,,,,,,,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】,【一般財団法人 つくば都市交通センター】
